time,Close,Contract
11/21/2018 15:03,17.4,FVSZ8 Index
11/21/2018 15:04,17.45,FVSZ8 Index
11/21/2018 15:12,17.4,FVSZ8 Index
11/21/2018 15:13,17.35,FVSZ8 Index
11/21/2018 15:16,17.35,FVSZ8 Index
11/21/2018 15:19,17.4,FVSZ8 Index
11/21/2018 15:29,17.4,FVSZ8 Index
11/21/2018 15:30,17.4,FVSZ8 Index
11/21/2018 15:31,17.35,FVSZ8 Index
11/21/2018 15:32,17.35,FVSZ8 Index
11/21/2018 15:34,17.35,FVSZ8 Index
11/21/2018 15:36,17.35,FVSZ8 Index
11/21/2018 15:39,17.4,FVSZ8 Index
11/21/2018 15:44,17.35,FVSZ8 Index
11/21/2018 15:55,17.35,FVSZ8 Index
11/21/2018 16:00,17.5,FVSZ8 Index
11/21/2018 16:01,17.4,FVSZ8 Index
11/21/2018 16:02,17.4,FVSZ8 Index
11/21/2018 16:03,17.5,FVSZ8 Index
11/21/2018 16:04,17.45,FVSZ8 Index
11/21/2018 16:05,17.45,FVSZ8 Index
11/21/2018 16:06,17.5,FVSZ8 Index
11/21/2018 16:07,17.5,FVSZ8 Index
11/21/2018 16:08,17.45,FVSZ8 Index
11/21/2018 16:09,17.45,FVSZ8 Index
11/21/2018 16:10,17.35,FVSZ8 Index
11/21/2018 16:11,17.4,FVSZ8 Index
11/21/2018 16:12,17.35,FVSZ8 Index
11/21/2018 16:14,17.3,FVSZ8 Index
11/21/2018 16:15,17.3,FVSZ8 Index
11/21/2018 16:16,17.35,FVSZ8 Index
11/21/2018 16:17,17.3,FVSZ8 Index
11/21/2018 16:18,17.35,FVSZ8 Index
11/21/2018 16:19,17.35,FVSZ8 Index
11/21/2018 16:20,17.35,FVSZ8 Index
11/21/2018 16:21,17.35,FVSZ8 Index
11/21/2018 16:22,17.35,FVSZ8 Index
11/21/2018 16:23,17.35,FVSZ8 Index
11/21/2018 16:24,17.35,FVSZ8 Index
11/21/2018 16:25,17.4,FVSZ8 Index
11/21/2018 16:26,17.4,FVSZ8 Index
11/21/2018 16:28,17.4,FVSZ8 Index
11/21/2018 16:29,17.35,FVSZ8 Index
11/21/2018 16:30,17.35,FVSZ8 Index
11/21/2018 16:31,17.35,FVSZ8 Index
11/21/2018 16:32,17.35,FVSZ8 Index
11/21/2018 16:33,17.25,FVSZ8 Index
11/21/2018 16:34,17.25,FVSZ8 Index
11/21/2018 16:35,17.25,FVSZ8 Index
11/21/2018 16:36,17.25,FVSZ8 Index
11/21/2018 16:37,17.2,FVSZ8 Index
11/21/2018 16:39,17.25,FVSZ8 Index
