Dates,AAPL_HIGH,AAPL_LOW,AAPL_OPEN,AAPL_LAST,AAPL_IV1st_90%,AAPL_IV1st_95%,AAPL_IV1st_97.5%,AAPL_IV1st_100%,AAPL_IV1st_102.5%,AAPL_IV1st_105%,AAPL_IV1st_110%,AAPL_IV2nd_90%,AAPL_IV2nd_95%,AAPL_IV2nd_97.5%,AAPL_IV2nd_100%,AAPL_IV2nd_102.5%,AAPL_IV2nd_105%,AAPL_IV2nd_110%,AAPL_IV1m_90%,AAPL_IV1m_95%,AAPL_IV1m_97.5%,AAPL_IV1m_100%,AAPL_IV1m_102.5%,AAPL_IV1m_105%,AAPL_IV1m_110%,AAPL_IV2m_90%,AAPL_IV2m_95%,AAPL_IV2m_97.5%,AAPL_IV2m_100%,AAPL_IV2m_102.5%,AAPL_IV2m_105%,AAPL_IV2m_110%,AAPL_IV3m_90%,AAPL_IV3m_95%,AAPL_IV3m_97.5%,AAPL_IV3m_100%,AAPL_IV3m_102.5%,AAPL_IV3m_105%,AAPL_IV3m_110%
2/1/2018,43.075,42.315,42.54,43.065,27.8983,20.546,17.6687,16.1401,15.6522,16.4056,20.1356,27.0551,25.2414,24.5003,23.905,23.4431,23.0401,23.1233,28.6913,26.1862,25.1902,24.7011,24.3027,24.0741,24.2179,25.9447,24.3796,23.7747,23.3081,22.9256,22.563,22.5267,24.6572,23.3884,22.9445,22.6288,22.3386,22.0227,21.8471
3/1/2018,43.638,42.99,43.133,43.058,27.9812,20.4653,17.7169,16.2674,15.8035,16.5216,21.1722,27.2331,25.2801,24.4262,23.8439,23.5096,23.1796,23.1886,29.2702,26.7149,25.734,25.0779,24.5742,24.2136,24.621,26.0363,24.4252,23.749,23.3045,23.0407,22.7369,22.6375,24.7684,23.5299,23.0445,22.7465,22.557,22.2807,22.0668
4/1/2018,43.368,43.02,43.135,43.258,28.3633,19.8629,16.7405,14.9623,14.7743,15.9751,20.7995,26.6904,24.5947,23.7621,23.2102,22.8078,22.549,22.7501,28.7106,25.8558,24.7898,23.9992,23.6915,23.5272,24.0744,25.3079,23.6669,23.0377,22.5417,22.2117,21.9471,21.8857,24.351,23.1032,22.6653,22.3322,22.0605,21.8231,21.586
5/1/2018,43.843,43.263,43.36,43.75,29.268,20.3575,17.0124,15.098,15.3378,17.2317,23.3775,26.9276,24.7181,23.9374,23.2627,23.0223,22.8768,23.3824,28.7647,25.9934,24.8982,24.0337,23.8536,23.7538,24.5998,25.4711,23.7759,23.1329,22.643,22.2917,22.1056,22.2422,24.5501,23.2064,22.7116,22.3438,22.0923,21.9028,21.8577
8/1/2018,43.903,43.483,43.588,43.588,30.1486,20.9575,17.0658,15.0621,15.1705,17.0686,23.6971,27.2162,25.0555,24.2385,23.6475,23.3502,23.1913,23.6381,28.5837,25.9516,25.1035,24.4067,23.9822,23.9083,24.7854,25.3987,23.7156,23.0935,22.6803,22.3847,22.2061,22.392,24.4202,23.105,22.6147,22.3583,22.1184,21.9234,21.8901
9/1/2018,43.765,43.353,43.638,43.583,31.1269,20.9564,16.859,14.7465,15.1087,18.0669,26.0558,27.2817,24.7859,23.9272,23.3166,23.0415,22.9931,23.64,28.2608,25.6089,24.5574,23.8248,23.5507,23.5449,24.4479,25.2585,23.5086,22.9009,22.5095,22.1726,22.0043,22.2169,24.219,22.9243,22.48,22.2548,22.0261,21.7742,21.7456
10/1/2018,43.575,43.25,43.29,43.573,32.103,21.637,17.0736,14.5551,14.9951,17.9996,25.7064,27.6012,25.1077,24.1913,23.6379,23.3062,23.2503,23.9454,28.5111,25.7727,24.7814,24.0691,23.6095,23.6483,24.6694,25.3111,23.5582,23.0414,22.5872,22.2024,22.0404,22.3141,24.3043,22.9171,22.5917,22.3194,21.9479,21.6881,21.795
11/1/2018,43.872,43.623,43.648,43.82,33.21,22.068,16.6319,13.6353,14.3301,18.1082,27.3496,26.6973,24.161,23.2585,22.6242,22.2846,22.2355,23.0598,27.5366,24.8183,23.8407,23.2433,22.7294,22.7424,23.791,24.4541,22.719,22.1307,21.5991,21.3688,21.1801,21.4332,23.5717,22.3129,21.8278,21.5391,21.3103,21.0789,21.076
12/1/2018,44.34,43.913,44.045,44.273,35.5469,23.4618,17.5733,15.0993,16.1448,20.1443,29.3219,27.262,24.7202,23.7934,23.2021,22.9815,22.9012,23.7812,28.0482,25.2564,24.3185,23.6435,23.3372,23.3182,24.4865,24.7918,22.9663,22.286,21.9961,21.7002,21.5185,21.7914,23.6805,22.3788,21.914,21.6862,21.4852,21.2821,21.2172
16/1/2018,44.848,44.035,44.475,44.048,45.6447,31.1885,22.4054,18.8545,20.9932,29.1709,42.0542,29.9355,27.2468,26.3142,25.6259,25.0846,24.9855,25.7365,29.9355,27.2468,26.3142,25.6259,25.0846,24.9855,25.7365,25.817,24.1806,23.5969,23.1099,22.7784,22.6482,22.7975,24.4079,23.2951,22.8609,22.5321,22.226,22.0569,22.0053
