Dates,BABA_HIGH,BABA_LOW,BABA_OPEN,BABA_LAST,BABA_IV1st_90%,BABA_IV1st_95%,BABA_IV1st_97.5%,BABA_IV1st_100%,BABA_IV1st_102.5%,BABA_IV1st_105%,BABA_IV1st_110%,BABA_IV2nd_90%,BABA_IV2nd_95%,BABA_IV2nd_97.5%,BABA_IV2nd_100%,BABA_IV2nd_102.5%,BABA_IV2nd_105%,BABA_IV2nd_110%,BABA_IV1m_90%,BABA_IV1m_95%,BABA_IV1m_97.5%,BABA_IV1m_100%,BABA_IV1m_102.5%,BABA_IV1m_105%,BABA_IV1m_110%,BABA_IV2m_90%,BABA_IV2m_95%,BABA_IV2m_97.5%,BABA_IV2m_100%,BABA_IV2m_102.5%,BABA_IV2m_105%,BABA_IV2m_110%,BABA_IV3m_90%,BABA_IV3m_95%,BABA_IV3m_97.5%,BABA_IV3m_100%,BABA_IV3m_102.5%,BABA_IV3m_105%,BABA_IV3m_110%
2/1/2018,184.1,175.7,176.399,183.65,30.5873,27.6046,27.0475,26.7697,26.7589,26.9762,29.0757,33.5603,32.7485,32.397,32.1317,31.8146,31.5982,31.3713,34.5897,34.0486,33.1089,32.7428,32.0857,31.8363,31.9966,32.2305,31.5232,31.2214,30.9696,30.7266,30.5161,30.2839,30.6912,30.1085,29.8659,29.6299,29.4753,29.2713,29.0325
3/1/2018,185.635,181.4,185.19,184,30.4207,26.7632,26.0637,25.5979,25.3887,25.4633,27.398,33.0794,32.2901,31.9219,31.6924,31.3098,31.0294,30.7698,34.0346,33.4468,33.5986,32.8959,32.4805,32.2108,32.0355,31.7998,31.1166,30.8207,30.6183,30.3166,30.0716,29.8002,30.4524,29.8842,29.6665,29.4933,29.2789,29.0719,28.7873
4/1/2018,187.7472,184.43,185.9,185.71,29.9208,25.7876,24.8202,24.3368,24.5049,24.6675,27.487,32.2449,31.5076,31.3343,31.1901,30.8771,30.7101,30.4075,33.0514,33.2,32.4571,32.9155,31.8833,31.3717,31.2856,31.1761,30.392,30.2396,29.923,29.6569,29.3258,29.0911,29.9904,29.4286,29.1979,29.0286,28.8024,28.6044,28.3448
5/1/2018,190.75,186.301,187.17,190.7,30.432,26.0601,25.0482,24.5871,24.6837,25.2327,28.236,32.7827,32.0647,31.8957,31.7451,31.4866,31.4166,31.1739,33.0423,33.2994,32.3334,32.0688,31.3326,30.829,30.7543,31.2919,30.7014,30.4771,30.3907,30.0882,29.9294,29.7947,30.334,29.854,29.6805,29.5211,29.3165,29.1584,28.8972
8/1/2018,191.66,189.07,190.46,190.33,33.3443,27.3877,26.2023,25.543,25.7649,26.5635,30.5274,34.0271,33.2554,33.037,32.9869,33.1481,32.8633,32.7488,34.912,34.2898,34.0869,34.0298,33.7418,33.6959,33.6354,32.0909,31.4942,31.3019,31.1801,31.0833,30.9183,30.8566,30.9472,30.4957,30.2799,30.1448,29.9427,29.7849,29.7155
9/1/2018,192.49,188,191.13,190.8,33.3128,26.5702,25.1362,24.451,24.6874,25.7138,30.1709,33.4439,32.8976,32.7474,32.7779,32.5581,32.4443,32.3181,34.3224,33.6789,33.4742,33.591,33.2807,33.1122,32.8877,31.6266,31.1077,30.9334,30.8491,30.7259,30.643,30.4718,30.6143,30.2328,30.0661,29.93,29.772,29.7009,29.4857
10/1/2018,190.39,186.58,188.1,189.79,34.4449,26.3571,24.4655,23.5492,23.5594,24.4041,30.0851,33.5112,32.9653,32.9258,32.6709,32.5198,32.3148,32.2869,34.3951,33.8498,33.5278,33.3913,33.1858,32.9847,32.7983,31.8153,31.2863,31.1756,31.0105,30.9227,30.7648,30.7227,30.8543,30.483,30.3602,30.2051,30.1114,29.9812,29.9153
11/1/2018,190.43,188.1,189.73,188.75,36.1601,27.0679,25.083,24.1078,24.1958,25.3393,31.9889,33.3077,32.6303,32.5613,32.5204,32.3307,32.2188,32.2223,33.947,33.1523,33.0457,33.0222,32.9303,32.6981,32.6466,31.2503,30.8074,30.6501,30.6096,30.3611,30.3349,30.3075,30.4308,29.9935,29.8996,29.8572,29.6939,29.6001,29.5587
12/1/2018,190.2,187.25,189.91,187.79,36.8532,26.933,24.137,22.9433,23.1873,24.9467,32.9839,33.3966,32.7446,32.6339,32.5973,32.5835,32.5163,32.6448,34.1806,33.4247,33.3204,33.1897,33.2334,33.0605,33.1352,31.1167,30.6837,30.5617,30.48,30.4055,30.2788,30.2277,30.2829,29.9143,29.799,29.7221,29.6492,29.5568,29.4458
16/1/2018,191.74,181.75,190.4,182.4,60.9341,43.6323,37.0802,34.2001,33.7054,35.6811,49.7013,36.6778,35.8711,35.8064,35.8115,35.7313,35.6621,35.852,36.6778,35.8711,35.8064,35.8115,35.7313,35.6621,35.852,33.2244,32.6732,32.6371,32.5502,32.4702,32.3583,32.3888,31.7554,31.3312,31.2128,31.1632,31.097,31.0002,30.873
17/1/2018,184.8,179.32,183.3,183.83,63.1281,45.2348,38.0105,34.5629,34.9948,39.2942,56.5928,37.6587,37.1055,36.9791,36.9789,36.7094,36.534,36.5516,37.428,36.838,36.7206,36.6966,36.4545,36.2961,36.3014,33.989,33.3611,33.3018,33.0997,33.0251,32.8955,32.7822,32.5618,32.0843,31.964,31.685,31.6141,31.5468,31.421
18/1/2018,185.845,182.69,184.28,184.4,60.8399,38.7135,33.4321,30.2375,28.8876,34.4587,52.7591,36.3089,35.6422,35.672,35.7138,35.6819,35.6691,35.859,35.9161,35.2944,35.2763,35.2468,35.1904,35.1975,35.3219,33.0647,32.5872,32.4513,32.2701,32.2478,32.1501,32.1333,31.7218,31.4203,31.2186,31.1455,31.1031,31.0133,30.8749
19/1/2018,185.239,182.8,185.15,184.05,36.3602,28.3602,27.0293,26.6335,27.2669,29.3861,39.0266,35.7836,35.5271,35.5758,35.547,35.5242,35.518,35.8268,35.1292,34.9639,34.9506,34.8164,34.8051,34.8449,34.982,32.6962,32.3769,32.2851,32.1988,32.066,32.0516,32.012,31.6452,31.3299,31.2021,31.1755,31.0899,31.0228,30.943
22/1/2018,185.04,181.68,184.975,184.02,37.0879,36.62,36.7164,37.067,37.0553,36.9762,37.1403,33.3464,32.7616,32.6914,32.8492,32.8538,32.7479,32.7376,35.3985,35.2991,35.1186,35.3148,35.3318,35.1399,35.3278,32.9536,32.4177,32.3396,32.486,32.4782,32.37,32.3227,31.8085,31.4288,31.3251,31.4319,31.3882,31.2732,31.1152
23/1/2018,192.4,183.54,185.28,192.28,38.6384,38.3779,38.3996,38.5328,38.3675,38.2137,38.3136,34.6577,34.0899,33.9321,33.8902,33.7158,33.6113,33.7292,36.7368,36.2495,36.1582,36.111,36.024,35.8616,36.1808,34.053,33.5245,33.3695,33.3229,33.1891,33.0804,33.1077,32.5801,32.1686,32.0234,31.9577,31.9158,31.8013,31.6014
24/1/2018,198.86,192.4,194.71,195.53,40.6329,40.351,40.405,40.4927,40.281,40.297,40.6775,35.6411,35.1037,34.9847,34.9449,34.7971,34.7842,34.9247,38.2815,37.853,37.6701,37.6232,37.4562,37.4509,37.7161,34.9147,34.436,34.3295,34.2702,34.1365,34.1067,34.1794,33.4267,33.0817,32.9995,32.8997,32.7938,32.7333,32.662
25/1/2018,199.59,194.1001,196.34,198.33,43.4102,43.003,43.0956,43.1691,43.2205,43.1838,43.6559,37.1319,36.6028,36.4176,36.4149,36.4342,36.4046,36.6046,40.0777,39.494,39.3374,39.2886,39.3279,39.3013,39.6556,36.2013,35.7208,35.5358,35.5354,35.5442,35.4928,35.6031,34.5809,34.2067,34.0336,34.0368,34.0242,33.938,33.8787
26/1/2018,205.23,199.21,200.33,205.22,42.7569,42.5055,42.5172,42.5974,42.4866,42.4216,42.3657,36.6006,36.1707,36.1794,36.1183,36.0572,36.0858,36.273,39.197,38.7672,38.8432,38.5594,38.5983,38.6323,38.8402,35.664,35.2611,35.2406,35.1845,35.1288,35.135,35.2312,34.3048,33.9613,33.8915,33.8406,33.7905,33.7613,33.714
29/1/2018,205.69,201.82,204.83,203.01,48.4658,48.2166,48.415,48.4805,48.5675,48.3741,48.1844,39.3917,39.0179,38.9769,38.9602,38.9661,39.0218,39.2369,42.4305,42.0361,42.1429,42.1594,42.1537,42.2075,42.3973,37.8694,37.4983,37.451,37.4317,37.4174,37.433,37.5587,36.4109,36.079,36.0305,36.0137,35.9816,35.9574,35.9811
30/1/2018,202.54,196.49,198.68,199.66,49.5885,49.61,49.7687,49.9725,49.9736,49.6812,49.3674,40.1361,39.8034,39.742,39.7166,39.7071,39.6985,39.8205,43.4925,43.0913,43.214,43.1676,43.0795,43.1161,43.2641,38.4524,38.1108,38.0332,38.0133,38.0058,37.9989,38.0695,37.0001,36.6904,36.591,36.5766,36.5605,36.5438,36.5745
31/1/2018,206.2,202.8,202.82,204.29,45.2378,44.7511,44.8138,45.2659,45.2561,44.5785,44.0556,37.7681,37.565,37.4348,37.5269,37.6627,37.6293,37.5848,40.3113,39.8503,39.7731,39.7523,39.6863,39.7256,39.7708,36.4971,36.276,36.1725,36.1543,36.1553,36.1487,36.1625,35.6374,35.4014,35.3213,35.2322,35.1434,35.1606,35.2249
