Dates,FB_HIGH,FB_LOW,FB_OPEN,FB_LAST,FB_IV1st_90%,FB_IV1st_95%,FB_IV1st_97.5%,FB_IV1st_100%,FB_IV1st_102.5%,FB_IV1st_105%,FB_IV1st_110%,FB_IV2nd_90%,FB_IV2nd_95%,FB_IV2nd_97.5%,FB_IV2nd_100%,FB_IV2nd_102.5%,FB_IV2nd_105%,FB_IV2nd_110%,FB_IV1m_90%,FB_IV1m_95%,FB_IV1m_97.5%,FB_IV1m_100%,FB_IV1m_102.5%,FB_IV1m_105%,FB_IV1m_110%,FB_IV2m_90%,FB_IV2m_95%,FB_IV2m_97.5%,FB_IV2m_100%,FB_IV2m_102.5%,FB_IV2m_105%,FB_IV2m_110%,FB_IV3m_90%,FB_IV3m_95%,FB_IV3m_97.5%,FB_IV3m_100%,FB_IV3m_102.5%,FB_IV3m_105%,FB_IV3m_110%
2/1/2018,181.58,177.55,177.68,181.42,27.0588,21.2954,19.3797,17.9845,17.3103,17.5669,21.4544,28.7801,26.9976,26.2894,25.6846,25.1663,24.6814,24.2796,30.9306,28.5608,27.6517,26.9507,26.2031,25.8433,25.5976,27.3506,25.7748,25.2096,24.7601,24.3456,23.9406,23.4809,26.3826,25.163,24.7305,24.4052,24.0993,23.7846,23.3487
3/1/2018,184.78,181.33,181.88,184.67,27.6064,21.2869,19.3894,17.904,17.2771,17.3225,20.9002,28.5814,26.6802,25.9732,25.2076,24.5889,24.0449,23.6759,30.9026,28.3726,27.3504,26.8762,26.1357,25.7065,25.2791,27.0831,25.4715,24.8366,24.2904,23.7727,23.2877,22.8822,26.1849,24.9476,24.4155,24.0597,23.6779,23.3074,22.9082
4/1/2018,186.21,184.1,184.9,184.33,27.8995,21.3657,19.2127,17.6762,16.9848,17.1409,20.891,28.4024,26.4671,25.6695,25.1651,24.5867,23.9329,23.4896,30.0478,27.7438,26.8325,26.3622,25.8534,25.1439,25.0079,26.7598,25.188,24.485,24.1736,23.7153,23.2186,22.7341,26.1518,24.9531,24.4267,24.1747,23.8069,23.4615,23.0079
5/1/2018,186.9,184.93,185.59,186.85,27.7096,20.7271,18.5767,17.0615,16.293,16.6312,21.3233,27.6901,26.0261,25.3007,24.6491,24.0322,23.3833,22.8634,29.2202,27.3688,26.7379,25.6274,25.0115,24.4934,24.2695,26.1698,24.8295,24.1612,23.5252,23.0323,22.5566,22.0443,25.8139,24.6851,24.2028,23.7519,23.3178,22.9926,22.5565
8/1/2018,188.9,186.33,187.2,188.28,29.8796,21.3942,18.7161,17.1597,16.5923,17.511,23.6623,28.1517,26.582,26.0354,25.4318,24.8063,24.2434,23.8279,29.3598,27.6326,26.9714,26.4076,25.8046,25.1893,24.9687,26.4577,25.0071,24.4989,23.9701,23.483,23.0712,22.6373,26.1367,25.02,24.5839,24.1726,23.7737,23.4504,23.0665
9/1/2018,188.8,187.1,188.7,187.87,30.1178,21.0206,18.0075,16.2931,15.8684,17.2967,24.2635,28.1546,26.529,25.9539,25.3566,24.8216,24.2819,23.7162,29.2533,27.4668,26.9891,26.4403,25.8996,25.1856,24.8018,26.2909,24.7711,24.2575,23.8082,23.3699,22.932,22.4843,26.0071,24.8549,24.4147,24.0616,23.7359,23.4083,23.015
10/1/2018,187.89,185.63,186.94,187.84,30.4593,20.847,17.6994,15.8839,15.5486,17.2456,24.641,28.805,27.1752,26.4733,25.8778,25.2323,24.5671,24.1675,29.9895,28.0363,27.5044,26.7182,25.9951,25.3012,25.0073,26.7063,25.2104,24.583,24.0922,23.6057,23.1589,22.7069,26.3613,25.2078,24.7,24.2808,23.9363,23.6173,23.1882
11/1/2018,188.4,187.38,188.4,187.77,32.2128,21.7922,17.8431,15.7242,15.4293,17.6667,27.1917,29.0253,27.3649,26.7013,26.1019,25.5019,24.9508,24.5595,29.7806,28.1229,27.4779,26.9257,26.3366,25.6951,25.3287,26.7414,25.2445,24.6964,24.2442,23.8192,23.3805,23.0722,26.4905,25.3407,24.9112,24.562,24.203,23.8827,23.5268
12/1/2018,181.48,177.4,178.06,179.37,40.2513,29.3889,26.039,24.6042,24.1946,24.665,29.3344,33.9333,32.6246,32.1487,31.5646,30.9157,30.3556,29.4392,35.0026,33.582,32.9232,32.5639,32.0921,31.2123,30.374,30.6886,29.3002,28.8042,28.462,28.0226,27.6452,27.0476,29.8043,28.744,28.3499,28.0222,27.6598,27.3287,26.8382
16/1/2018,181.75,178.04,181.5,178.39,50.6848,34.9999,30.2952,27.7651,28.1799,32.004,45.6371,35.2007,34.0157,33.6,33.1599,32.4511,31.602,30.2427,35.2007,34.0157,33.6,33.1599,32.4511,31.602,30.2427,31.1089,29.8775,29.2544,28.7364,28.2168,27.6918,26.9182,30.1001,29.1967,28.7244,28.2777,27.8752,27.4989,26.8317
17/1/2018,179.32,175.8,179.26,177.6,58.5642,37.4622,30.6405,27.3477,28.846,34.9564,53.7846,34.5773,33.5452,33.2104,32.7918,32.1372,31.3555,30.3122,34.3444,33.2741,32.8998,32.4845,31.8742,31.1182,30.1023,30.6406,29.5322,29.0581,28.5441,28.0611,27.6398,26.9141,29.7735,28.8891,28.5336,28.1482,27.7671,27.432,26.8384
18/1/2018,180.98,177.08,178.13,179.8,62.7528,34.0259,26.5376,23.4102,26.4624,31.4679,51.8345,34.247,33.2341,32.7863,32.3342,31.5695,30.6868,29.5075,33.7047,32.6374,32.1813,31.7333,31.0038,30.1611,29.1315,30.1693,28.8854,28.3702,28.0176,27.5064,26.9837,26.3098,29.4308,28.4994,28.023,27.7196,27.3376,26.9166,26.3773
19/1/2018,182.37,180.17,180.85,181.29,35.4924,25.6797,22.8275,21.2847,21.2039,23.1156,31.1534,33.2986,32.292,32.0167,31.4202,30.4334,29.6456,28.5025,32.6822,31.5353,31.1383,30.5678,29.6818,28.9853,27.9699,29.4411,28.3048,27.8221,27.3578,26.774,26.2617,25.594,28.9717,28.0492,27.6474,27.2614,26.8336,26.4024,25.9025
22/1/2018,185.39,180.41,180.8,185.37,32.0355,30.8202,30.4507,29.969,29.2187,28.1652,27.2404,28.1885,26.8443,26.2293,25.8296,25.2903,24.653,24.1199,30.8446,29.3277,28.8584,28.2945,27.6381,26.786,26.13,27.786,26.5211,25.976,25.5884,25.0812,24.5281,23.98,26.645,25.6367,25.3066,24.9529,24.5428,24.2477,23.6647
23/1/2018,189.55,185.55,186.05,189.35,33.7303,32.4826,32.1361,31.5465,30.6503,29.8156,29.1757,29.0322,27.735,27.1469,26.5971,26.0049,25.5184,25.0122,31.7714,30.3745,29.8496,29.3928,28.7153,28.0366,27.3496,28.4407,27.2251,26.6719,26.1743,25.6596,25.2141,24.6812,27.0605,26.0731,25.6149,25.2548,24.9325,24.5913,24.0112
24/1/2018,190.66,186.52,189.89,186.55,37.1125,35.6057,35.2129,34.6195,33.8488,33.1022,32.3543,31.1049,29.8375,29.3056,28.7109,28.1634,27.7832,27.1784,34.1904,32.8155,32.2117,31.5933,30.9891,30.5105,29.9981,30.2502,29.0516,28.5836,28.1011,27.6004,27.2146,26.6594,28.5223,27.5083,27.1757,26.9218,26.5279,26.1479,25.6969
25/1/2018,188.62,186.6,187.95,187.48,37.5937,36.1268,35.5847,35.1724,34.3584,33.6798,32.9109,31.4019,30.0965,29.5481,29.0368,28.5184,28.074,27.6791,34.3164,32.8289,32.3659,31.8724,31.2824,30.825,30.3148,30.4762,29.2581,28.768,28.3277,27.8692,27.4642,27.0512,28.8769,27.8578,27.4808,27.1683,26.8253,26.5031,26.0522
26/1/2018,190,186.81,187.75,190,38.1974,36.8538,36.4838,36.0071,35.1631,34.3684,33.4724,31.4999,30.2576,29.7263,29.263,28.743,28.3895,27.888,34.6218,33.0062,32.456,32.0799,31.575,31.0172,30.6493,30.4971,29.3303,28.8162,28.4138,27.9413,27.6239,27.1422,29.0118,27.9895,27.5409,27.2429,26.8387,26.5788,26.1547
29/1/2018,188.84,185.63,188.75,185.98,45.0403,43.649,43.1583,42.7836,41.6724,41.2657,40.356,34.9746,33.7689,33.2654,32.8235,32.3183,32.015,31.4589,38.4399,37.1921,36.6589,36.2129,35.7351,35.3259,34.6971,33.1797,32.0475,31.6072,31.2165,30.7779,30.4725,29.9613,31.3022,30.3074,29.9333,29.6085,29.2702,28.9749,28.5192
30/1/2018,188.18,181.84,183.01,187.12,43.6579,42.3754,41.7441,41.2978,40.4442,39.5229,38.5777,34.43,33.1535,32.6304,32.0848,31.5578,31.0572,30.7102,37.7406,36.3076,35.6778,35.2776,34.6701,34.118,33.6385,32.6964,31.5428,31.074,30.6411,30.2324,29.8054,29.353,31.0716,30.0853,29.6916,29.3769,29.081,28.7431,28.2156
31/1/2018,189.83,185.22,188.37,186.89,42.4639,40.907,40.433,40.1624,39.8579,38.5274,37.2914,33.2503,32.1968,31.6401,31.2073,30.8489,30.5338,29.8734,36.2369,34.9628,34.4388,34.3736,33.9963,33.3123,32.6176,31.6145,30.5222,30.0088,29.6901,29.5005,29.1959,28.6033,30.3645,29.3071,28.8655,28.6262,28.5438,28.2695,27.7622
1/2/2018,195.32,187.89,188.22,193.09,30.4404,25.8665,24.3535,23.3641,22.7908,22.9981,25.589,26.5738,24.44,23.7235,23.0791,22.6929,22.4438,22.5332,27.0665,24.3502,23.4224,22.6198,22.4566,22.2372,23.0879,26.0397,24.4236,23.7455,23.1722,22.7631,22.6416,22.473,26.3308,25.1114,24.6275,24.1795,23.8123,23.5715,23.2544
2/2/2018,194.21,189.98,192.04,190.28,34.4095,28.5065,26.332,24.9083,24.3412,24.2818,26.1936,29.2851,27.0076,26.2002,25.3218,24.9681,24.6795,24.4097,29.903,26.8302,25.8087,24.8042,24.3953,24.1076,24.6281,28.4624,26.7138,26.0188,25.5537,25.1347,24.7675,24.4316,29.0457,27.8623,27.4025,26.9935,26.6905,26.3357,25.8577
5/2/2018,190.61,180.61,186.93,181.26,48.6251,42.2124,40.1015,38.3105,36.6063,35.6504,35.2532,36.3414,34.314,33.1207,32.2672,31.6994,31.3073,30.5368,38.432,35.4606,34.2737,33.5505,32.1165,31.8424,31.3281,34.3303,32.4145,31.7332,31.158,30.6317,30.1764,29.3799,33.8356,32.4964,31.9336,31.4903,31.0969,30.7477,30.142
6/2/2018,185.77,177.74,178.57,185.31,43.7253,36.5366,33.026,29.9807,28.1459,27.0841,28.6046,33.5205,30.8114,29.5282,28.5593,27.5178,26.772,25.8573,34.7474,31.4245,29.9717,28.5443,27.7294,26.9685,26.0738,31.9556,29.8507,28.9792,28.2759,27.7205,27.1167,26.3199,32.3639,30.8634,30.1667,29.6799,29.2322,28.7482,28.0387
