Dates,IBM_HIGH,IBM_LOW,IBM_OPEN,IBM_LAST,IBM_IV1st_90%,IBM_IV1st_95%,IBM_IV1st_97.5%,IBM_IV1st_100%,IBM_IV1st_102.5%,IBM_IV1st_105%,IBM_IV1st_110%,IBM_IV2nd_90%,IBM_IV2nd_95%,IBM_IV2nd_97.5%,IBM_IV2nd_100%,IBM_IV2nd_102.5%,IBM_IV2nd_105%,IBM_IV2nd_110%,IBM_IV1m_90%,IBM_IV1m_95%,IBM_IV1m_97.5%,IBM_IV1m_100%,IBM_IV1m_102.5%,IBM_IV1m_105%,IBM_IV1m_110%,IBM_IV2m_90%,IBM_IV2m_95%,IBM_IV2m_97.5%,IBM_IV2m_100%,IBM_IV2m_102.5%,IBM_IV2m_105%,IBM_IV2m_110%,IBM_IV3m_90%,IBM_IV3m_95%,IBM_IV3m_97.5%,IBM_IV3m_100%,IBM_IV3m_102.5%,IBM_IV3m_105%,IBM_IV3m_110%
2/1/2018,154.81,153.54,154.5,154.25,30.1253,25.3926,24.0092,23.1785,22.6288,22.4031,24.7504,22.7975,20.0531,19.0658,18.4888,18.1246,18.0415,18.7614,25.1436,19.7928,20.2198,19.7724,19.3873,19.0164,18.2379,21.3093,19.034,18.1666,17.579,17.2153,17.0864,17.5446,20.5431,18.7944,18.0738,17.6221,17.2416,17.0403,17.083
3/1/2018,159.81,156.33,157.34,158.49,31.8665,27.2269,25.6798,24.9323,24.6117,24.847,27.6853,23.8593,21.1809,20.2691,19.8391,19.5678,19.5659,20.6051,30.1236,23.0297,22.917,21.3395,21.04,21.0374,22.0554,22.2953,19.9499,19.1161,18.7034,18.4181,18.3418,18.9771,21.4676,19.632,18.982,18.6167,18.3149,18.1303,18.2693
4/1/2018,162.3237,159.37,159.65,161.7,33.0401,27.7912,26.2961,25.5545,25.2402,25.5041,28.1074,23.6402,21.1661,20.4266,19.9471,19.6631,19.5812,20.4131,25.8909,22.8321,22,21.3652,21.0989,21.1774,21.8575,21.841,19.9336,19.0819,18.7808,18.6026,18.3352,18.5787,21.1592,19.5338,19.0315,18.6162,18.2724,18.1829,18.296
5/1/2018,162.9,161.101,162.44,162.49,35.1975,30.2654,28.3331,27.5458,27.6903,27.9343,30.5362,24.7509,22.1157,21.2222,20.7733,20.5823,20.4768,21.7796,27.8657,24.4982,23.4083,22.6963,22.4041,22.627,24.2738,23.1074,20.9923,20.1163,19.8035,19.4987,19.308,19.6653,21.7899,20.2218,19.6892,19.3307,19.0774,18.8619,19.0115
8/1/2018,163.905,161.701,162.66,163.47,37.0344,31.9136,31.1161,30.7288,30.8483,31.2338,33.1122,24.7234,22.7121,22.0354,21.6088,21.3613,21.355,22.5048,26.2241,23.8823,23.1303,22.7503,22.2747,22.5665,23.8468,22.6695,20.8444,20.183,19.7879,19.456,19.2912,19.5368,22.0278,20.6423,20.1232,19.7355,19.4376,19.2502,19.2027
9/1/2018,164.53,163.06,163.9,163.83,37.0984,32.1693,31.0905,31.2219,31.6061,32.2437,35.7287,24.5809,22.3322,21.7721,21.5078,21.3426,21.416,22.79,25.627,23.0496,22.2978,22.5186,21.9938,22.1046,23.9713,22.458,20.5281,19.8686,19.6311,19.4798,19.3867,20.0931,22.0124,20.5451,20.1323,19.8295,19.6052,19.4729,19.6129
10/1/2018,164.33,162.5,162.91,164.18,36.1971,31.9033,31.035,31.4822,31.6298,32.323,35.2281,24.514,22.0711,21.5374,21.328,21.2487,21.4065,22.8938,25.3035,22.9621,22.3589,21.8587,21.8625,21.9616,23.6569,22.1585,20.066,19.4821,19.3363,19.1117,19.0869,19.897,21.9446,20.3348,19.8213,19.6662,19.484,19.4071,19.7004
11/1/2018,164.94,163.3,164.8,164.2,38.7137,34.0437,33.3602,33.4416,33.9853,34.8807,37.6231,24.695,22.5785,21.9465,21.6115,21.5172,21.7943,23.38,25.8136,23.4128,22.8037,22.2248,22.1584,22.3668,24.2412,22.3959,20.4399,20.1125,19.5348,19.4213,19.4269,20.4998,22.0619,20.5861,20.1174,19.9064,19.7257,19.6772,20.0548
12/1/2018,164.74,163.03,164.02,163.14,41.0963,37.7209,36.9197,36.7787,37.6249,38.0721,40.4913,24.8525,23.1017,22.7687,22.3774,22.1498,22.2649,23.4398,24.284,23.767,23.3204,23.0181,22.7275,22.9706,24.7932,23.3618,21.0398,20.3893,20.1486,20.387,20.1944,21.2395,22.5348,21.1076,20.766,20.5354,20.3729,20.29,20.5728
16/1/2018,165.29,163.35,165.1,163.85,61.0303,57.2378,57.0025,57.705,58.9093,60.5886,66.3486,26.9713,25.033,24.5283,24.4342,24.469,24.7606,26.7043,26.9713,25.033,24.5283,24.4342,24.469,24.7606,26.7043,23.2163,21.6251,21.1157,20.8445,20.6225,20.5706,21.2558,23.2606,21.8584,21.4097,21.2037,21.0401,21.0115,21.3428
