Dates,HSCEI_HIGH,HSCEI_LOW,HSCEI_OPEN,HSCEI_LAST,HSCEI_IV1st_90%,HSCEI_IV1st_95%,HSCEI_IV1st_97.5%,HSCEI_IV1st_100%,HSCEI_IV1st_102.5%,HSCEI_IV1st_105%,HSCEI_IV1st_110%,HSCEI_IV2nd_90%,HSCEI_IV2nd_95%,HSCEI_IV2nd_97.5%,HSCEI_IV2nd_100%,HSCEI_IV2nd_102.5%,HSCEI_IV2nd_105%,HSCEI_IV2nd_110%,HSCEI_IV1m_90%,HSCEI_IV1m_95%,HSCEI_IV1m_97.5%,HSCEI_IV1m_100%,HSCEI_IV1m_102.5%,HSCEI_IV1m_105%,HSCEI_IV1m_110%,HSCEI_IV2m_90%,HSCEI_IV2m_95%,HSCEI_IV2m_97.5%,HSCEI_IV2m_100%,HSCEI_IV2m_102.5%,HSCEI_IV2m_105%,HSCEI_IV2m_110%,HSCEI_IV3m_90%,HSCEI_IV3m_95%,HSCEI_IV3m_97.5%,HSCEI_IV3m_100%,HSCEI_IV3m_102.5%,HSCEI_IV3m_105%,HSCEI_IV3m_110%
2/1/2018,12077.63,11779.44,11779.44,12068.99,22.8425,19.7149,18.6303,18.1273,18.2931,18.8168,19.4481,22.011,19.9138,19.1571,18.6859,18.5167,18.642,19.1291,22.684,19.7536,18.7334,18.2367,18.3366,18.7831,19.3868,22.072,20.0349,19.3002,18.8357,18.6659,18.7515,19.1888,22.3773,20.7171,20.1066,19.7065,19.5617,19.4159,19.5431
3/1/2018,12171.77,12044.25,12101.31,12088.99,21.7253,18.364,17.3191,17.0738,17.4752,17.8586,18.3909,21.2497,19.0704,18.3164,18.0358,18.0759,18.0914,18.4648,21.6058,18.5456,17.5772,17.3227,17.6294,17.9179,18.4096,21.3518,19.2782,18.5501,18.2658,18.2766,18.264,18.5934,21.7667,20.1606,19.5476,19.2651,19.1632,19.0284,19.1469
4/1/2018,12283.41,12105.84,12143.45,12203.55,22.0485,18.3407,17.3158,16.8686,17.0556,17.5469,18.1059,20.9409,18.8715,18.1547,17.7227,17.6741,17.7911,18.2797,21.71,18.5074,17.5811,17.1388,17.2504,17.6232,18.1601,21.0855,19.116,18.4464,18.0192,17.9375,18.0084,18.4267,21.5607,19.9496,19.4169,19.0019,18.8405,18.745,18.9194
5/1/2018,12288.15,12143.42,12266.92,12211.63,21.6183,18.2339,17.0851,16.4183,16.5844,17.0254,17.6821,20.5868,18.4923,17.7946,17.3885,17.4361,17.492,17.9223,21.2462,18.329,17.3484,16.7802,16.9014,17.1978,17.7705,20.7751,18.8152,18.1502,17.7435,17.7604,17.7757,18.1313,21.2505,19.6826,19.1079,18.7035,18.6652,18.5604,18.7016
8/1/2018,12276.6,12153.66,12236.52,12235.19,21.4548,17.8852,16.6962,16.048,16.3938,16.8264,17.7892,20.036,17.9635,17.244,16.86,16.9396,17.111,17.6151,20.7313,17.9258,16.9824,16.4739,16.679,16.9745,17.6991,20.2795,18.4228,17.7496,17.3963,17.4672,17.5605,17.9532,20.7032,19.2047,18.6394,18.3103,18.3765,18.3149,18.4942
9/1/2018,12290.75,12188.15,12253.56,12255.68,22.1347,17.9899,16.564,15.7946,15.8932,16.2415,17.2758,20.0899,17.9252,17.1525,16.7614,16.706,16.9145,17.3993,21.0049,17.9534,16.8987,16.3474,16.357,16.6248,17.3456,20.3052,18.4136,17.7172,17.3713,17.2842,17.4036,17.7817,20.6559,19.1601,18.5992,18.2796,18.1626,18.1169,18.3197
10/1/2018,12390.99,12195.39,12251.37,12289.17,22.3558,18.3872,16.7926,16.0098,15.9511,16.3136,17.178,20.2181,17.9226,17.171,16.7725,16.7289,16.9254,17.3105,21.0813,18.106,17.0238,16.478,16.4286,16.6884,17.2587,20.3962,18.4446,17.7631,17.3994,17.331,17.4122,17.763,20.6016,19.1011,18.52,18.2398,18.1338,18.0645,18.3034
11/1/2018,12316.38,12227.62,12300.18,12295.52,21.9129,17.9635,16.3455,15.2496,15.0141,15.5487,17.611,20.1821,17.8998,17.061,16.4466,16.1402,16.3438,16.8565,20.8047,17.9221,16.8139,16.0376,15.7549,16.0698,17.1245,20.3988,18.393,17.6843,17.148,16.8314,16.9382,17.3755,20.5401,18.9657,18.4086,17.9641,17.65,17.6315,17.9248
12/1/2018,12488.43,12373.68,12381.14,12468.93,20.9661,17.0205,15.3042,14.4881,14.8325,15.2843,17.7607,19.4393,17.0443,16.216,15.8113,15.8202,16.024,16.3694,19.9267,17.0369,15.938,15.4119,15.5197,15.7976,16.8145,19.6633,17.638,16.9437,16.565,16.5093,16.6264,16.9516,19.9221,18.3266,17.752,17.4097,17.2581,17.2463,17.5023
15/1/2018,12652.08,12404.45,12575.15,12470.42,23.4302,18.6013,16.7382,15.9089,16.1864,16.6164,19.4028,20.2971,17.7211,16.8256,16.42,16.4659,16.6509,17.1538,20.9853,17.9072,16.8075,16.3154,16.4084,16.6438,17.6437,20.3619,18.2473,17.4929,17.1313,17.1388,17.2007,17.6085,20.3584,18.6828,18.0581,17.7332,17.6725,17.6201,17.877
