Dates,HSI_HIGH,HSI_LOW,HSI_OPEN,HSI_LAST,HSI_IV1st_90%,HSI_IV1st_95%,HSI_IV1st_97.5%,HSI_IV1st_100%,HSI_IV1st_102.5%,HSI_IV1st_105%,HSI_IV1st_110%,HSI_IV2nd_90%,HSI_IV2nd_95%,HSI_IV2nd_97.5%,HSI_IV2nd_100%,HSI_IV2nd_102.5%,HSI_IV2nd_105%,HSI_IV2nd_110%,HSI_IV1m_90%,HSI_IV1m_95%,HSI_IV1m_97.5%,HSI_IV1m_100%,HSI_IV1m_102.5%,HSI_IV1m_105%,HSI_IV1m_110%,HSI_IV2m_90%,HSI_IV2m_95%,HSI_IV2m_97.5%,HSI_IV2m_100%,HSI_IV2m_102.5%,HSI_IV2m_105%,HSI_IV2m_110%,HSI_IV3m_90%,HSI_IV3m_95%,HSI_IV3m_97.5%,HSI_IV3m_100%,HSI_IV3m_102.5%,HSI_IV3m_105%,HSI_IV3m_110%
2/1/2018,30515.31,30028.29,30028.29,30515.31,19.6568,15.6417,14.1727,13.2083,12.9729,13.2237,14.2002,18.3539,15.7677,14.8011,14.0979,13.7569,13.7523,14.1152,19.4115,15.6661,14.2965,13.3851,13.1283,13.3277,14.1838,18.3636,15.873,14.9344,14.2467,13.8938,13.8662,14.2129,18.4023,16.5056,15.7411,15.1461,14.7263,14.5664,14.7886
3/1/2018,30724.32,30456.76,30658.73,30560.95,18.6791,14.6196,13.2367,12.6446,12.5112,12.6721,14.0076,17.6918,15.2184,14.2692,13.8684,13.5681,13.5886,13.9966,18.4339,14.7737,13.5059,12.9657,12.7873,12.9105,14.0048,17.747,15.389,14.4733,14.0823,13.7697,13.7637,14.1395,17.9757,16.1418,15.3824,15.0298,14.6703,14.5393,14.7532
4/1/2018,30796.93,30560.43,30691.71,30736.48,18.2783,14.3773,13.0301,11.9529,11.878,12.2088,14.0962,17.3778,14.9954,14.0916,13.3875,13.0839,13.2182,13.6277,18.003,14.5724,13.3693,12.4169,12.2658,12.5315,13.9521,17.4721,15.2314,14.3757,13.6723,13.3543,13.4453,13.8397,17.8122,16.0415,15.3465,14.6772,14.3063,14.2437,14.5419
5/1/2018,30911.01,30638.53,30893.86,30814.64,17.7346,14.1097,12.8415,11.9838,11.553,11.9028,13.8329,17.1042,14.8081,13.9323,13.3037,12.8046,12.9746,13.3806,17.5063,14.3695,13.2515,12.4836,12.0267,12.3063,13.669,17.2158,15.0855,14.2591,13.6407,13.1364,13.2602,13.6597,17.5491,15.8749,15.1872,14.6169,14.0931,14.0729,14.3967
8/1/2018,30929.15,30732.54,30895.09,30899.53,18.089,14.0161,12.6376,11.6711,11.6878,11.817,14.0249,16.7133,14.4341,13.5231,12.9418,12.7811,12.9371,13.3887,17.3894,14.2343,13.1042,12.3462,12.2668,12.4103,13.6988,16.9252,14.8442,14.0156,13.4636,13.2545,13.3501,13.7466,17.3022,15.5872,14.9068,14.4186,14.1412,14.1017,14.3628
9/1/2018,31056.7,30852.43,30933.51,31011.41,18.8056,14.0896,12.6838,11.637,11.5219,11.8001,14.3882,16.8665,14.4593,13.6004,13.0051,12.7116,12.9148,13.3119,17.737,14.2995,13.209,12.4278,12.2078,12.4417,13.791,17.0543,14.9329,14.16,13.5863,13.2727,13.3946,13.7829,17.3426,15.671,15.0264,14.5043,14.1362,14.1228,14.4365
10/1/2018,31267.57,30928.58,31009.24,31073.72,18.9228,14.2738,12.6307,11.4436,11.4954,11.7838,15.2509,16.7236,14.3517,13.3752,12.7726,12.6804,12.8246,13.2012,17.6178,14.3213,13.0886,12.2692,12.2299,12.4273,14.0397,16.9438,14.8382,13.9839,13.437,13.2722,13.3509,13.6662,17.2163,15.5054,14.8118,14.3431,14.099,14.0532,14.2726
11/1/2018,31133.18,30950.07,31066.21,31120.39,20.2759,15.1907,13.1404,11.4161,11.2985,11.8237,15.3863,17.2472,14.7197,13.6568,12.819,12.5238,12.7279,13.2605,18.3649,14.8864,13.4782,12.3458,12.1088,12.4187,14.0417,17.3861,15.1143,14.2209,13.4921,13.1663,13.2576,13.6993,17.4727,15.6187,14.93,14.3226,13.9555,13.9096,14.193
12/1/2018,31412.54,31198.36,31298.05,31412.54,20.1616,14.3503,12.0472,10.5392,10.7131,11.0962,13.6768,16.5182,13.8245,12.8017,12.0786,11.9804,12.1662,12.7638,17.7319,13.9902,12.5719,11.6216,11.601,11.8437,13.0546,16.6786,14.3649,13.4869,12.8466,12.6676,12.7688,13.1891,16.8524,15.0165,14.3055,13.7464,13.4828,13.463,13.7196
15/1/2018,31733.18,31265.25,31702.56,31338.87,22.4078,16.1963,13.7931,11.8836,11.543,12.0162,17.4288,17.2759,14.7464,13.6299,12.6855,12.3482,12.5039,12.9134,18.4578,15.0585,13.6639,12.5234,12.1856,12.4043,13.9702,17.3878,15.1711,14.2478,13.4427,13.0874,13.1551,13.4544,17.4297,15.5715,14.8259,14.132,13.7437,13.6834,13.8977
