Dates,NKY_HIGH,NKY_LOW,NKY_OPEN,NKY_LAST,NKY_IV1st_90%,NKY_IV1st_95%,NKY_IV1st_97.5%,NKY_IV1st_100%,NKY_IV1st_102.5%,NKY_IV1st_105%,NKY_IV1st_110%,NKY_IV2nd_90%,NKY_IV2nd_95%,NKY_IV2nd_97.5%,NKY_IV2nd_100%,NKY_IV2nd_102.5%,NKY_IV2nd_105%,NKY_IV2nd_110%,NKY_IV1m_90%,NKY_IV1m_95%,NKY_IV1m_97.5%,NKY_IV1m_100%,NKY_IV1m_102.5%,NKY_IV1m_105%,NKY_IV1m_110%,NKY_IV2m_90%,NKY_IV2m_95%,NKY_IV2m_97.5%,NKY_IV2m_100%,NKY_IV2m_102.5%,NKY_IV2m_105%,NKY_IV2m_110%,NKY_IV3m_90%,NKY_IV3m_95%,NKY_IV3m_97.5%,NKY_IV3m_100%,NKY_IV3m_102.5%,NKY_IV3m_105%,NKY_IV3m_110%
4/1/2018,23506.33,23065.2,23073.73,23506.33,27.2885,18.5253,15.2582,13.3892,12.6311,14.4696,14.4717,19.7408,16.6147,15.1917,14.1736,13.6128,13.7372,14.3682,20.1509,16.7076,15.1948,14.1384,13.5691,13.7718,14.373,19.3094,16.7626,15.6506,14.8077,14.3113,14.1814,14.5483,19.256,16.7806,15.7058,14.8834,14.3944,14.2347,14.5702
5/1/2018,23730.47,23520.52,23643,23714.53,27.6739,19.1435,15.0656,13.4839,14.2265,14.5571,15.5909,19.8799,16.5304,15.2855,14.56,14.4755,14.9545,15.0025,20.1783,16.6211,15.2785,14.5265,14.4675,14.9419,15.0218,18.9886,16.5916,15.5929,15.1148,14.8792,15.0929,15.301,18.9039,16.5972,15.621,15.1651,14.916,15.1056,15.3284
9/1/2018,23952.61,23789.03,23948.97,23849.99,41.0684,24.9836,18.3285,14.5189,15.3888,20.0453,20.0453,20.9568,17.1476,16.2414,15.5572,15.4671,15.8169,16.2352,20.9568,17.1476,16.2414,15.5572,15.4671,15.8169,16.2352,19.5024,17.3222,16.4502,15.7725,15.443,15.4661,15.8119,19.5024,17.3222,16.4502,15.7725,15.443,15.4661,15.8119
10/1/2018,23864.76,23755.45,23832.81,23788.2,49.2719,26.9927,17.0705,11.9679,15.742,20.4883,20.4883,20.5477,16.7085,15.4488,14.8397,14.8712,15.261,15.8451,20.465,16.726,15.4944,14.8873,14.9035,15.2648,15.8399,19.272,16.9682,16.1174,15.5372,15.3474,15.3174,15.7677,19.272,16.9682,16.1174,15.5372,15.3474,15.3174,15.7677
11/1/2018,23734.97,23601.84,23656.39,23710.43,46.3594,38.0317,21.5922,10.8941,20.5756,20.5756,20.5756,19.9398,16.349,14.9707,14.4773,14.2251,14.564,15.5535,19.8395,16.4065,15.1,14.5884,14.3345,14.6234,15.5317,19.1625,16.7817,15.9282,15.3029,15.0382,15.0105,15.3866,19.1625,16.7817,15.9282,15.3029,15.0382,15.0105,15.3866
12/1/2018,23743.05,23588.07,23719.66,23653.82,19.2689,15.5096,14.1007,13.412,13.3138,13.6943,14.4677,18.6951,16.242,15.1367,14.4478,14.4558,14.3074,14.5458,19.1592,15.654,14.3071,13.6186,13.5424,13.8151,14.4828,18.6951,16.242,15.1367,14.4478,14.4558,14.3074,14.5458,18.6951,16.242,15.1367,14.4478,14.4558,14.3074,14.5458
15/1/2018,23833.27,23685.02,23827.98,23714.88,19.4606,15.3359,14.0302,13.4292,13.2312,13.348,14.1732,18.482,15.9307,14.9266,14.5403,14.0732,13.986,14.2398,19.1079,15.5565,14.3651,13.8466,13.5457,13.5852,14.1977,18.3586,15.9729,15.0338,14.6357,14.2245,14.1323,14.3408,17.9944,16.0953,15.3416,14.9097,14.6561,14.5498,14.6308
16/1/2018,23962.07,23701.83,23721.17,23951.81,19.2258,15.125,13.7442,13.505,13.663,13.5944,13.8097,18.1511,15.7851,14.8849,14.3334,14.0299,14.1899,14.5263,18.7826,15.4053,14.2337,13.8584,13.818,13.8473,14.1146,18.0898,15.8671,15.0301,14.5078,14.208,14.3078,14.5854,17.9424,16.0614,15.3717,14.9167,14.6249,14.5856,14.7259
17/1/2018,23891.63,23739.17,23783.42,23868.34,19.8578,16.2624,15.0683,13.8687,13.809,13.701,14.2063,19.1383,16.6949,15.5979,14.6437,14.3493,14.3869,14.4629,19.5229,16.4671,15.3195,14.2382,14.0655,14.0276,14.3275,18.954,16.6772,15.6867,14.8012,14.5065,14.4847,14.5747,18.5796,16.6419,15.8628,15.1116,14.8163,14.6785,14.7958
18/1/2018,24084.42,23699.47,24078.93,23763.37,21.1535,17.2753,15.4773,14.3028,14.9608,14.6008,15.1706,19.4734,16.9446,15.9032,14.812,14.9378,14.8132,14.7985,20.2998,17.1047,15.6995,14.569,14.9489,14.7113,14.9788,19.2557,16.9184,15.9421,15.0404,15.0399,14.8816,14.8283,18.8799,16.8737,16.0081,15.4206,15.2119,14.9971,14.8788
