Dates,SHSN300_HIGH,SHSN300_LOW,SHSN300_OPEN,SHSN300_LAST,SHSN300_IV1st_90%,SHSN300_IV1st_95%,SHSN300_IV1st_97.5%,SHSN300_IV1st_100%,SHSN300_IV1st_102.5%,SHSN300_IV1st_105%,SHSN300_IV1st_110%,SHSN300_IV2nd_90%,SHSN300_IV2nd_95%,SHSN300_IV2nd_97.5%,SHSN300_IV2nd_100%,SHSN300_IV2nd_102.5%,SHSN300_IV2nd_105%,SHSN300_IV2nd_110%,SHSN300_IV1m_90%,SHSN300_IV1m_95%,SHSN300_IV1m_97.5%,SHSN300_IV1m_100%,SHSN300_IV1m_102.5%,SHSN300_IV1m_105%,SHSN300_IV1m_110%,SHSN300_IV2m_90%,SHSN300_IV2m_95%,SHSN300_IV2m_97.5%,SHSN300_IV2m_100%,SHSN300_IV2m_102.5%,SHSN300_IV2m_105%,SHSN300_IV2m_110%,SHSN300_IV3m_90%,SHSN300_IV3m_95%,SHSN300_IV3m_97.5%,SHSN300_IV3m_100%,SHSN300_IV3m_102.5%,SHSN300_IV3m_105%,SHSN300_IV3m_110%
2/1/2020,4172.66,4121.35,4121.35,4152.24,19.81,18.2482,17.8448,17.8389,19.613,20.1355,21.8886,18.9545,18.6094,18.5876,18.6665,20.1625,20.3295,21.0486,19.81,18.2482,17.8448,17.8389,19.613,20.1355,21.8886,19.4175,18.4168,18.1934,18.2278,19.87,20.2258,21.5027,19.7589,18.9441,18.7825,18.8075,20.2194,20.5048,21.543
3/1/2020,4164.3,4131.86,4161.22,4144.97,19.3539,17.386,16.9391,18.3403,18.9994,19.9379,22.7311,19.1269,18.4841,18.4258,19.8287,20.3768,20.8666,22.3907,19.3539,17.386,16.9391,18.3403,18.9994,19.9379,22.7311,19.2398,17.948,17.7042,19.1052,19.7059,20.4114,22.5601,20.0455,19.0733,18.9189,20.1928,20.6484,21.1364,22.6852
6/1/2020,4170.64,4102.38,4120.52,4129.3,20.2133,17.8055,17.3288,18.4528,19.7838,20.7916,24.0098,19.9241,19.024,18.9626,20.3227,21.4968,22.1437,23.9904,20.2133,17.8055,17.3288,18.4528,19.7838,20.7916,24.0098,20.0354,18.5663,18.3535,19.6269,20.8568,21.6354,23.9978,20.7027,19.5673,19.4156,20.4658,21.4716,22.1346,24.1065
7/1/2020,4161.25,4135.1,4137.4,4160.23,20.8711,18.5478,18.096,18.379,19.4936,20.6105,23.9418,20.6958,19.5527,19.4576,19.8329,20.8296,21.6326,23.8989,20.8711,18.5478,18.096,18.379,19.4936,20.6105,23.9418,20.757,19.2088,18.9945,19.339,20.3743,21.2822,23.9139,20.9227,19.9085,19.8909,20.162,20.7432,21.5166,23.6393
8/1/2020,4149.81,4101.98,4139.63,4112.32,19.9755,17.8495,17.4101,17.8532,20.0579,21.0026,23.8596,20.0592,18.6708,18.5453,19.0749,21.0892,21.9341,24.1536,19.9755,17.8495,17.4101,17.8532,20.0579,21.0026,23.8596,20.0329,18.4166,18.1961,18.6995,20.7706,21.6456,24.0616,20.414,19.4828,19.3966,19.8181,21.1905,21.7844,23.4576
9/1/2020,4165.66,4143.59,4145.54,4164.37,19.4415,17.9732,17.9415,18.1784,18.8134,19.7602,22.5783,20.5679,19.4049,19.3654,19.5748,19.959,20.7736,22.8772,19.4415,17.9732,17.9415,18.1784,18.8134,19.7602,22.5783,20.2571,19.0127,18.9753,19.192,19.6432,20.4934,22.7935,20.6071,19.88,19.7978,19.9893,20.3498,20.8986,22.3802
10/1/2020,4180.98,4148.48,4177.58,4163.19,18.4876,17.5334,17.4102,17.6817,18.3901,18.9734,20.6177,19.4766,18.8293,18.8157,19.1144,19.7676,20.2554,21.7009,18.4876,17.5334,17.4102,17.6817,18.3901,18.9734,20.6177,19.2341,18.5139,18.4743,18.7665,19.4324,19.9426,21.4352,20.405,19.7394,19.6704,19.8088,20.1914,20.5491,21.6154
13/1/2020,4203.99,4148.6,4166.93,4203.99,18.3637,16.9202,16.541,16.5297,18.2778,18.5837,19.7217,18.4861,17.9567,17.8636,17.9501,19.5017,19.7739,20.5502,18.3637,16.9202,16.541,16.5297,18.2778,18.5837,19.7217,18.4662,17.7923,17.6554,17.7271,19.3081,19.5854,20.4179,19.3497,19.2929,19.3263,19.5241,19.9846,20.326,21.0905
14/1/2020,4223.51,4188.08,4215.16,4189.89,18.2272,16.4571,15.9228,16.9796,17.3304,17.7472,19.5281,18.0782,17.4596,17.3438,18.9394,19.4211,19.7045,20.7567,18.2272,16.4571,15.9228,16.9796,17.3304,17.7472,19.5281,18.0985,17.3269,17.1579,18.6855,19.1507,19.4504,20.5943,18.1245,18.0445,18.0994,19.299,19.7065,19.9011,20.5462
15/1/2020,4193.87,4150.88,4186.88,4166.73,18.6178,16.4733,15.9654,16.0461,16.8944,17.3727,19.2626,18.1247,17.6865,17.5916,17.9693,18.8277,19.105,19.9402,18.6178,16.4733,15.9654,16.0461,16.8944,17.3727,19.2626,18.1796,17.557,17.4199,17.7677,18.6246,18.922,19.8667,18.1475,17.9526,17.9734,18.3346,19.1095,19.3465,19.9279
