Dates,KOSPI_HIGH,KOSPI_LOW,KOSPI_OPEN,KOSPI_LAST,KOSPI_IV1st_90%,KOSPI_IV1st_95%,KOSPI_IV1st_97.5%,KOSPI_IV1st_100%,KOSPI_IV1st_102.5%,KOSPI_IV1st_105%,KOSPI_IV1st_110%,KOSPI_IV2nd_90%,KOSPI_IV2nd_95%,KOSPI_IV2nd_97.5%,KOSPI_IV2nd_100%,KOSPI_IV2nd_102.5%,KOSPI_IV2nd_105%,KOSPI_IV2nd_110%,KOSPI_IV1m_90%,KOSPI_IV1m_95%,KOSPI_IV1m_97.5%,KOSPI_IV1m_100%,KOSPI_IV1m_102.5%,KOSPI_IV1m_105%,KOSPI_IV1m_110%,KOSPI_IV2m_90%,KOSPI_IV2m_95%,KOSPI_IV2m_97.5%,KOSPI_IV2m_100%,KOSPI_IV2m_102.5%,KOSPI_IV2m_105%,KOSPI_IV2m_110%,KOSPI_IV3m_90%,KOSPI_IV3m_95%,KOSPI_IV3m_97.5%,KOSPI_IV3m_100%,KOSPI_IV3m_102.5%,KOSPI_IV3m_105%,KOSPI_IV3m_110%
2/1/2018,326.45,324.3,325.73,326,24.5599,16.7847,13.955,12.5481,11.8102,12.8531,13.1396,17.065,14.1018,12.7987,11.6917,11.0751,11.2112,12.3276,17.6245,14.2834,12.8737,11.7468,11.1222,11.3203,12.3797,16.4022,13.5897,12.4334,11.5644,11.1907,11.1692,11.6736,15.9185,13.8391,12.8338,12.188,11.5395,11.1615,11.5371
3/1/2018,328.37,326.56,327.13,327.13,25.4375,16.7535,13.363,12.7302,12.2423,13.4356,14.9942,17.2126,13.8045,12.3367,11.9565,11.6084,11.6641,12.7754,17.6759,13.9541,12.3859,11.9932,11.6384,11.7516,12.886,16.3158,13.4823,12.1184,10.6395,11.4089,11.5544,12.0564,15.7832,13.5913,12.653,11.9433,11.6973,11.4923,11.8205
4/1/2018,329.52,324.58,329.52,324.58,25.9141,17.1782,12.7259,11.693,12.2666,14.5283,17.9286,16.8119,13.2453,11.8192,11.5724,11.2931,11.5161,12.7522,17.181,13.3902,11.8495,11.5763,11.3258,11.6255,12.9515,16.0604,13.1168,11.8129,11.4968,11.2756,11.128,11.9338,15.5655,11.7916,16.5096,22.6655,24.6271,13.7881,11.7783
5/1/2018,329.03,325.78,326.06,328.97,26.266,18.1368,12.6866,11.0494,12.0505,14.4169,17.1834,17.0646,13.1138,11.9505,10.7482,10.3798,10.8885,12.1692,17.3051,13.2373,11.9663,10.7546,10.4172,10.9732,12.2939,16.0862,12.0261,18.1343,11.0781,10.2469,10.2116,11.4361,15.3741,13.2678,13.5395,11.5351,10.7627,10.8044,11.4498
8/1/2018,331.65,328.47,330.83,331.28,33.5689,23.2511,16.1764,15.221,15.3287,19.0053,21.1418,17.4574,13.2143,12.0917,11.3575,11.1911,11.7379,13.077,17.4574,13.2143,12.0917,11.3575,11.1911,11.7379,13.077,15.7925,12.9804,12.091,11.3883,11.0444,11.2236,12.0014,15.2424,13.1825,12.4301,11.7822,11.3636,11.2383,11.8225
9/1/2018,332.7,328.53,330.67,330.25,31.7813,24.6282,16.8174,15.4684,16.3213,22.3953,23.2694,17.5388,13.3345,12.0022,11.1962,11.1531,11.5074,12.9,17.4236,13.3022,11.9832,11.2897,11.1715,11.5015,12.8364,15.7058,12.8616,11.7443,12.4884,11.4316,11.4185,11.9006,15.3035,13.2286,12.3364,11.7914,11.5537,11.3969,11.6394
10/1/2018,330.97,327.07,330.87,327.61,23.7643,23.7643,18.569,14.734,17.8509,26.3736,26.3736,17.3488,13.2524,11.9308,11.1591,10.976,11.4298,13.0193,17.1698,13.2294,11.9522,10.7147,11.0074,11.3808,12.8714,15.8881,13.1024,12.1377,7.6676,11.2378,11.0839,11.859,15.419,13.3574,12.5675,11.8351,11.481,11.4014,11.9787
11/1/2018,327.98,325.07,326.92,325.67,16.964,12.3795,11.1596,10.3911,10.3653,10.5426,12.4896,16.964,12.3795,11.1596,10.3911,10.3653,10.5426,12.4896,16.688,12.4555,11.2699,10.5118,10.4242,10.5454,12.2571,15.4372,12.8249,11.8082,11.0956,10.7387,10.6184,11.2519,15.1228,13.19,12.3713,11.6896,11.1933,11.0047,11.3505
12/1/2018,327.5,324.22,327.34,326.72,16.2877,11.9533,10.6671,9.9136,10.1022,10.5437,12.5105,15.1644,12.3211,11.2761,10.5249,10.1125,10.122,10.6288,16.0104,12.0476,10.8247,10.0721,10.1048,10.4384,12.0613,15.0615,12.413,11.4243,10.6556,10.2389,10.2122,10.6848,14.5643,12.8393,12.1015,11.2541,10.8176,10.6288,10.9458
15/1/2018,328.94,326.21,328.57,327.39,17.3557,12.7623,11.4291,10.8388,11.0577,11.4382,13.1133,15.3161,12.5995,11.6798,11.0744,10.7176,10.7485,11.2331,16.531,12.6943,11.5349,10.9382,10.9163,11.1542,12.3597,15.1075,12.6739,11.797,11.1783,10.9397,10.845,11.2384,14.526,12.8626,12.1024,11.4871,11.4657,11.1069,11.391
