Dates,MSFT_HIGH,MSFT_LOW,MSFT_OPEN,MSFT_LAST,MSFT_IV1st_90%,MSFT_IV1st_95%,MSFT_IV1st_97.5%,MSFT_IV1st_100%,MSFT_IV1st_102.5%,MSFT_IV1st_105%,MSFT_IV1st_110%,MSFT_IV2nd_90%,MSFT_IV2nd_95%,MSFT_IV2nd_97.5%,MSFT_IV2nd_100%,MSFT_IV2nd_102.5%,MSFT_IV2nd_105%,MSFT_IV2nd_110%,MSFT_IV1m_90%,MSFT_IV1m_95%,MSFT_IV1m_97.5%,MSFT_IV1m_100%,MSFT_IV1m_102.5%,MSFT_IV1m_105%,MSFT_IV1m_110%,MSFT_IV2m_90%,MSFT_IV2m_95%,MSFT_IV2m_97.5%,MSFT_IV2m_100%,MSFT_IV2m_102.5%,MSFT_IV2m_105%,MSFT_IV2m_110%,MSFT_IV3m_90%,MSFT_IV3m_95%,MSFT_IV3m_97.5%,MSFT_IV3m_100%,MSFT_IV3m_102.5%,MSFT_IV3m_105%,MSFT_IV3m_110%
2/1/2018,86.31,85.5,86.125,85.95,27.3059,18.8909,15.614,13.8636,13.3509,13.9905,19.2363,24.217,21.9795,21.2759,20.7489,20.401,20.247,20.5112,26.5191,23.4977,22.612,21.9889,21.4384,21.045,21.5142,22.9235,21.0489,20.4441,19.9607,19.5906,19.3943,19.5605,21.5132,20.1347,19.7103,19.34,19.0083,18.8498,18.8913
3/1/2018,86.51,85.97,86.055,86.35,26.863,17.5877,14.7053,13.2742,12.9856,13.4322,14.8101,24.284,21.9541,21.3594,20.8891,20.5503,20.3948,20.629,26.0837,23.4173,22.6645,22.3417,21.8765,21.8497,21.8711,22.7278,20.896,20.3737,19.9618,19.6556,19.4881,19.5559,21.3988,20.0789,19.6615,19.3123,19.0584,18.9316,18.8984
4/1/2018,87.66,86.57,86.59,87.11,26.7777,18.1119,15.0847,13.5351,13.3762,13.819,18.7468,23.8837,21.7301,21.0343,20.481,20.1812,20.0131,20.2892,27.1909,24.9348,22.9695,22.6583,21.765,21.4694,21.5366,22.0666,20.9154,20.0653,19.6712,19.2323,19.0552,19.1297,21.2405,19.7839,19.3073,18.9442,18.6481,18.4726,18.392
5/1/2018,88.41,87.43,87.66,88.19,25.9863,16.691,13.9921,12.8414,12.7551,14.4467,17.646,23.2671,20.96,20.3408,19.916,19.5968,19.3356,19.8081,25.2994,22.4185,21.6369,21.1899,20.9185,20.7908,21.1162,21.7034,19.8941,19.3694,18.9866,18.7124,18.5526,18.8375,20.6544,19.306,18.8824,18.5614,18.2786,18.1451,18.1948
8/1/2018,88.58,87.6046,88.2,88.28,29.2795,18.4364,14.934,13.6838,13.99,16.6572,19.7423,24.2476,21.952,21.2491,20.742,20.3909,20.2297,20.9359,25.9239,23.1965,22.3178,21.9403,21.7006,21.576,22.2161,22.326,20.5525,19.9626,19.5774,19.2681,19.114,19.282,21.1215,19.7884,19.3191,18.971,18.7317,18.5518,18.5185
9/1/2018,88.7272,87.86,88.65,88.22,31.6502,18.6892,15.0339,13.6148,14.1342,16.8506,20.8551,24.4395,22.0713,21.3662,20.8463,20.3975,20.1902,20.6319,26.0134,23.1543,22.4468,21.9103,21.6367,21.4125,22.2047,22.3651,20.5475,19.9646,19.5347,19.1985,18.9958,19.1242,20.9809,19.6957,19.2173,18.8373,18.5869,18.3997,18.3336
10/1/2018,88.19,87.41,87.86,87.82,31.6569,18.9908,14.7744,13.3485,13.7276,17.6256,19.614,24.9299,22.4047,21.5623,21.0033,20.658,20.5503,21.2445,26.0475,23.3568,22.3819,22.1949,21.8488,21.6627,22.4069,22.5917,20.77,20.1196,19.6882,19.3444,19.1453,19.3581,21.2661,19.8193,19.3233,18.9784,18.68,18.5033,18.4805
11/1/2018,88.13,87.24,88.13,88.08,34.2262,19.3498,14.7304,13.4769,14.2891,18.1775,18.8431,24.8677,22.2836,21.4945,20.9383,20.5089,20.4173,21.0185,25.9586,23.1809,22.3585,21.8347,21.2466,20.9349,21.8922,22.0711,20.4988,19.9014,19.4965,19.1657,18.9817,18.9421,20.8976,19.5625,19.1002,18.7477,18.5043,18.3492,18.241
12/1/2018,89.78,88.45,88.67,89.6,34.0084,18.6064,13.8544,12.6427,14.122,18.215,18.215,24.5004,21.9552,21.1899,20.8388,20.5424,20.5057,20.9734,26.8472,23.3352,22.3139,21.7223,21.8164,21.8476,22.9007,22.4399,20.1466,19.5572,19.1326,19.0215,18.7078,18.8471,20.6122,19.216,18.7787,18.5412,18.281,18.0693,17.9552
16/1/2018,90.79,88.0104,90.1,88.35,52.6036,29.8471,20.4545,17.321,19.8439,28.0477,45.7594,27.0275,24.5225,23.6872,23.1458,22.8677,22.7465,23.5248,27.0275,24.5225,23.6872,23.1458,22.8677,22.7465,23.5248,23.0441,21.2579,20.7008,20.2693,19.9133,19.6805,19.8113,21.6885,20.2421,19.7717,19.4197,19.153,18.9589,18.8279
