Dates,SQQQ_HIGH,SQQQ_LOW,SQQQ_OPEN,SQQQ_LAST,SQQQ_IV1st_90%,SQQQ_IV1st_95%,SQQQ_IV1st_97.5%,SQQQ_IV1st_100%,SQQQ_IV1st_102.5%,SQQQ_IV1st_105%,SQQQ_IV1st_110%,SQQQ_IV2nd_90%,SQQQ_IV2nd_95%,SQQQ_IV2nd_97.5%,SQQQ_IV2nd_100%,SQQQ_IV2nd_102.5%,SQQQ_IV2nd_105%,SQQQ_IV2nd_110%,SQQQ_IV1m_90%,SQQQ_IV1m_95%,SQQQ_IV1m_97.5%,SQQQ_IV1m_100%,SQQQ_IV1m_102.5%,SQQQ_IV1m_105%,SQQQ_IV1m_110%,SQQQ_IV2m_90%,SQQQ_IV2m_95%,SQQQ_IV2m_97.5%,SQQQ_IV2m_100%,SQQQ_IV2m_102.5%,SQQQ_IV2m_105%,SQQQ_IV2m_110%,SQQQ_IV3m_90%,SQQQ_IV3m_95%,SQQQ_IV3m_97.5%,SQQQ_IV3m_100%,SQQQ_IV3m_102.5%,SQQQ_IV3m_105%,SQQQ_IV3m_110%
2/1/2018,427.18,407.6,424.2,408.2,28.7422,30.146,31.9851,34.5755,37.3495,39.6477,45.5512,33.4043,36.4539,38.8353,39.8702,40.576,42.5199,46.8162,32.1932,34.8381,37.0831,38.491,39.7174,41.752,46.4728,35.3789,38.4849,40.0522,40.9978,41.7898,43.4589,46.9474,38.9827,41.7191,42.7771,43.5878,44.3384,45.6094,48.269
3/1/2018,406.8,395.1,406.8,396.2,31.362,31.362,32.0622,33.1639,34.9842,37.2518,44.6623,32.192,33.6536,35.2626,37.2876,38.9913,40.4948,44.2067,31.9951,33.1189,34.5227,36.3421,38.0695,39.7418,44.3163,34.1709,36.4017,37.5125,38.5417,39.9601,41.6148,44.6394,37.2483,38.8982,40.0894,41.4578,42.8532,44.2607,47.7327
4/1/2018,395.6,390.4,391.8,394.2,30.6435,29.9952,30.8141,33.4814,35.654,36.9061,39.8213,32.2745,34.0155,35.0604,36.3488,37.9256,40.0386,43.698,31.9431,33.2218,34.2231,35.7731,37.4658,39.4095,42.9229,33.8285,36.9146,38.0889,38.4873,39.4394,41.4077,45.1317,36.4934,39.9701,41.4304,41.7912,42.5038,43.8744,47.2073
5/1/2018,390.712,381.4,388.6,382.4,32.4994,32.4994,32.4994,32.9351,34.8278,36.7409,40.9442,30.9151,33.4284,35.3249,37.2023,39.0155,40.7652,43.4865,31.2021,33.2655,34.8403,36.4816,38.3059,40.0807,43.0464,33.1094,36.1704,37.2465,38.3323,39.4312,40.5802,43.4578,36.7696,39.3653,39.7025,40.2522,41.4933,42.7273,45.0756
8/1/2018,382.6,377.2,382.2,378,30.8843,30.8843,30.4991,30.0733,32.2882,35.212,44.2904,32.0174,34.607,35.1651,35.6456,37.0271,38.6504,43.1581,31.9044,34.248,34.7206,35.1209,36.5746,38.3159,43.2743,33.9007,36.5021,36.9519,37.3122,38.5795,40.0903,43.4709,37.7211,40.1449,40.6118,41.0002,42.1443,43.4925,46.0168
9/1/2018,381.192,374.4,375.6,377.8,36.2576,36.2576,36.2576,36.2576,37.0141,38.0285,46.6183,33.7968,35.8849,37.5421,39.294,40.6111,41.7799,43.4451,34.0018,35.9151,37.4401,39.0579,40.3329,41.49,43.7095,34.2703,38.0652,38.7031,39.1487,40.3233,41.745,44.1029,38.36,40.9635,41.3549,41.5997,42.8302,44.3968,46.2788
10/1/2018,387.8,380.2,383,380.6,35.1605,35.1605,35.1605,35.3821,38.8971,42.4121,51.8416,36.1813,38.9088,40.367,41.7887,42.6683,43.5479,45.9994,36.1187,38.6862,40.0629,41.4191,42.4435,43.4781,46.3843,36.3459,39.2155,40.2687,41.3309,42.5156,43.7008,46.5547,39.3882,41.747,42.7643,43.7967,45.0528,46.3089,48.708
11/1/2018,380.2,372.8,378.4,372.8,33.0589,33.0589,33.0589,33.0589,34.0298,37.6135,40.7408,35.7417,37.5535,38.8121,40.206,41.506,42.5533,46.5235,35.6225,37.3582,38.5658,39.9048,41.1913,42.3383,46.2729,35.1484,38.4944,40.1919,41.0871,42.0459,43.1738,45.4262,37.7591,40.5354,42.1082,43.423,44.6736,45.7432,47.8861
12/1/2018,375,363.46,374,365,37.3877,37.3877,37.3877,37.3877,37.3877,39.2157,47.8904,36.9847,38.4906,40.1206,40.8012,40.7704,41.3096,44.4326,36.9978,38.4555,40.0353,40.6955,40.6657,41.2437,44.5483,37.1233,39.5446,40.4319,40.8502,40.9164,41.5745,44.7563,39.863,41.8346,42.6432,43.188,43.536,44.3013,47.1213
16/1/2018,371,351.8,357.4,367.8,52.9161,52.9161,52.9161,52.9161,52.9161,52.9161,52.9161,40.4887,42.7572,44.7189,45.5582,46.069,48.503,54.4473,40.4887,42.7572,44.7189,45.5582,46.069,48.503,54.4473,39.8779,40.7931,42.2925,43.239,44.0236,45.4692,48.5298,42.1525,43.644,44.7431,45.3497,45.8132,46.5915,48.8736
