Dates,TSM_HIGH,TSM_LOW,TSM_OPEN,TSM_LAST,TSM_IV1st_90%,TSM_IV1st_95%,TSM_IV1st_97.5%,TSM_IV1st_100%,TSM_IV1st_102.5%,TSM_IV1st_105%,TSM_IV1st_110%,TSM_IV2nd_90%,TSM_IV2nd_95%,TSM_IV2nd_97.5%,TSM_IV2nd_100%,TSM_IV2nd_102.5%,TSM_IV2nd_105%,TSM_IV2nd_110%,TSM_IV1m_90%,TSM_IV1m_95%,TSM_IV1m_97.5%,TSM_IV1m_100%,TSM_IV1m_102.5%,TSM_IV1m_105%,TSM_IV1m_110%,TSM_IV2m_90%,TSM_IV2m_95%,TSM_IV2m_97.5%,TSM_IV2m_100%,TSM_IV2m_102.5%,TSM_IV2m_105%,TSM_IV2m_110%,TSM_IV3m_90%,TSM_IV3m_95%,TSM_IV3m_97.5%,TSM_IV3m_100%,TSM_IV3m_102.5%,TSM_IV3m_105%,TSM_IV3m_110%
1/5/2019,44.555,43.82,44.29,43.82,21.7095,21.7095,21.3414,20.4195,20.1275,18.5541,22.6281,23.5086,21.8736,20.9414,19.8754,19.3647,18.6306,18.0354,22.9926,21.8253,21.0602,20.0374,19.5928,18.6081,19.5027,23.488000000000003,21.6939,20.802,20.5854,19.9337,19.3457,18.8881,23.5629,21.8472,21.0327,21.5858,20.6765,20.3141,20.0326
2/5/2019,44.465,43.75,43.86,44.4,26.8101,23.3894,21.8207,19.9408,18.4587,18.0287,18.0287,25.3124,22.0594,21.107,19.8196,18.5006,18.0791,17.1318,25.7142,22.4164,21.2968,19.8515,18.4896,18.0659,17.3719,24.662,22.0562,21.1327,20.2676,19.4615,18.9581,18.455,24.1015,22.4194,21.5499,21.0656,20.6782,20.1639,19.87
3/5/2019,45.14,44.5601,44.93,44.71,20.6146,20.6146,19.268,18.649,17.9326,17.7888,17.7888,24.5178,21.5919,20.9133,19.3174,17.8793,17.3671,16.5326,23.6687,21.3689,20.5429,19.1642,17.8917,17.465999999999998,16.8328,23.9097,21.5716,20.8507,19.9254,19.0058,18.5857,17.7431,23.5214,21.9978,21.6242,20.7743,20.0049,19.6583,19.0774
6/5/2019,43.82,43.21,43.32,43.76,34.6022,26.8808,23.9626,21.9087,20.5867,21.4639,21.5333,26.1884,23.573,22.2717,21.2278,20.0939,19.3258,18.2351,27.6336,24.1053,22.537,21.3328,20.1696,19.6659,18.774,25.5987,23.581,22.6274,21.6506,20.9832,20.5742,19.5343,25.1605,23.6257,23.0035,22.1944,21.6363,21.2246,20.3313
7/5/2019,44.05,43.29,43.83,43.76,49.9195,31.3506,28.8795,26.6208,24.1454,22.7223,22.6466,29.6454,26.876,25.5664,23.4757,21.7076,20.6024,18.4647,32.9696,27.4944,26.0176,23.9048,22.0373,20.888,19.056,27.8357,25.8563,24.7169,23.4512,22.6654,22.2567,21.683000000000003,26.6473,24.9815,24.2794,23.3741,22.9539,22.5654,22.5069
8/5/2019,44.0,43.46,43.52,43.7,40.1139,32.1903,29.2582,27.5784,27.7896,28.1164,28.1465,28.0644,25.1557,23.8159,23.7936,22.7905,21.6299,21.1194,29.6007,26.0059,24.4611,24.2302,23.381,22.4199,21.9855,26.9082,24.9273,24.0229,24.322,23.9277,22.7231,22.8524,26.1677,24.6833,24.2179,24.1683,23.6468,22.7157,23.1123
9/5/2019,43.295,42.28,42.92,43.25,44.8838,36.2291,32.0492,29.1819,28.5197,29.0413,29.0413,30.4788,27.645,26.3037,25.0888,23.681,22.1566,22.284,32.0158,28.509,26.8617,25.4774,24.1482,22.8496,22.9622,29.2213,26.8683,25.8744,24.9235,24.5394,23.8562,23.0259,28.1414,26.2111,25.5496,24.7748,24.3863,23.8824,22.9797
10/5/2019,43.09,42.19,42.86,42.83,34.9087,29.6856,26.6004,25.3101,25.7768,27.2857,27.3983,28.3531,25.5667,24.3785,21.679,21.9498,21.1357,19.5124,28.8674,25.8807,24.5428,21.9565,22.2431,21.6299,20.1739,27.5745,25.427,24.4045,23.6385,23.0781,22.9898,21.8927,26.9776,25.3894,24.5368,24.063,23.5331,23.425,22.5523
13/5/2019,41.51,40.735,41.37,40.99,39.6671,39.6671,40.206,35.7324,32.8233,35.6435,35.6435,32.5576,29.7554,28.5207,26.92,25.6483,24.6044,23.8109,32.7894,30.0945,28.933000000000003,27.2207,25.8884,24.9998,24.2427,30.7387,28.0939,27.2234,26.6415,25.8384,25.4504,24.4602,29.7434,27.6898,26.9242,26.237,24.9661,25.3097,24.4049
14/5/2019,42.08,41.4,41.59,41.97,41.7001,41.7001,33.3936,30.053,27.4331,27.4331,27.4331,29.9753,26.7463,24.4207,23.7058,22.8699,21.5343,21.5476,30.2454,27.1141,24.6254,23.8447,22.9669,21.6637,21.6767,27.632,26.1143,25.2296,24.4838,23.7332,23.2433,22.3469,27.274,25.9855,25.3982,24.5083,23.9133,23.4128,22.7373
