Dates,VXX_HIGH,VXX_LOW,VXX_OPEN,VXX_LAST,VXX_IV1st_90%,VXX_IV1st_95%,VXX_IV1st_97.5%,VXX_IV1st_100%,VXX_IV1st_102.5%,VXX_IV1st_105%,VXX_IV1st_110%,VXX_IV2nd_90%,VXX_IV2nd_95%,VXX_IV2nd_97.5%,VXX_IV2nd_100%,VXX_IV2nd_102.5%,VXX_IV2nd_105%,VXX_IV2nd_110%,VXX_IV1m_90%,VXX_IV1m_95%,VXX_IV1m_97.5%,VXX_IV1m_100%,VXX_IV1m_102.5%,VXX_IV1m_105%,VXX_IV1m_110%,VXX_IV2m_90%,VXX_IV2m_95%,VXX_IV2m_97.5%,VXX_IV2m_100%,VXX_IV2m_102.5%,VXX_IV2m_105%,VXX_IV2m_110%,VXX_IV3m_90%,VXX_IV3m_95%,VXX_IV3m_97.5%,VXX_IV3m_100%,VXX_IV3m_102.5%,VXX_IV3m_105%,VXX_IV3m_110%
18/1/2018,109.6,109.04,109.6,109.04,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
19/1/2018,109.48,107.28,108.2,107.6,55.1952,61.9898,64.5416,64.9408,68.2492,71.5162,77.1098,68.0569,71.6985,72.6905,71.4775,73.2174,75.0468,78.0567,57.9079,63.984,66.1972,66.2563,69.2386,72.213,77.294,69.2451,72.7668,73.6059,72.1578,73.7577,75.4936,78.4001,76.445,79.2929,79.2395,76.3875,77.1415,78.3055,80.5734
22/1/2018,106.1208,106.1204,106.1204,106.1208,50.3523,57.6599,61.5375,62.0358,63.3194,68.569,75.3129,64.6511,69.3089,70.9296,72.3235,73.7983,75.6079,79.2316,56.0161,62.1814,65.1357,65.9912,67.3479,71.2285,76.7718,67.2207,71.2681,72.7365,74.0018,75.3029,76.8171,80.1057,74.4958,76.923,77.977,78.8889,79.7064,80.3843,82.7086
23/1/2018,107.8,106.8,106.8,107.8,51.9789,59.0573,59.3999,57.9508,63.7628,67.7122,71.6899,65.3966,72.1386,72.9574,69.8789,70.625,71.8628,75.3325,57.9849,64.865,65.4282,63.2275,66.7265,69.4829,73.2395,68.6716,74.2535,74.6589,71.6548,72.3672,73.5897,76.6458,76.415,79.409,78.8455,76.0103,76.6447,77.8342,79.9079
24/1/2018,111.5792,110.64,111.5792,110.64,50.3313,62.4384,65.4528,62.4226,62.4364,65.6933,73.8385,67.5503,72.6027,75.1996,71.852,71.0867,73.0719,76.4872,59.0537,67.4072,70.203,67.0203,66.6424,69.2596,75.0951,70.9765,75.1643,77.3454,74.0111,73.1133,74.8241,77.9642,77.9732,80.5038,81.8599,78.5441,77.3774,78.5345,81.1132
25/1/2018,110.64,110.64,110.64,110.64,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
26/1/2018,110.64,110.64,110.64,110.64,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
29/1/2018,118.32,116.8,116.8,118.32,55.8546,62.3102,64.0086,68.3483,78.8725,82.0094,88.3708,64.1889,68.6852,71.1262,75.5638,84.3034,86.3917,88.9302,61.4588,66.5683,68.7689,73.1701,82.4817,84.9147,88.7388,68.8094,72.1495,74.296,78.2832,85.6801,87.3155,89.3294,74.0521,76.159,77.9854,81.475,87.3287,88.4283,89.8135
30/1/2018,127.24,121.96,123.16,122.2,65.0005,74.8034,76.9582,80.6643,85.131,89.2183,95.5816,74.5392,79.5977,81.7416,83.3998,84.763,86.0552,89.5036,71.4858,78.0245,80.171,82.4936,84.8864,87.1275,91.5845,77.5262,81.1709,82.8012,84.6589,86.3413,87.4013,89.9898,80.7045,82.8779,83.9588,86.0313,88.0558,88.868,90.5251
31/1/2018,122.72,119.84,119.84,122.6,71.6291,79.9213,83.8365,79.8675,79.9964,84.3208,89.5044,77.124,81.018,82.9563,80.3409,79.9314,81.9959,85.5167,75.3738,80.6616,83.2447,80.1866,79.9526,82.7622,86.8389,80.1632,82.8777,84.7696,82.535,82.146,83.8645,86.324,83.059,84.6763,86.525,84.6486,84.2784,85.6721,87.115
1/2/2018,120.6,115.68,120.6,116.4296,60.0731,65.2921,68.3583,72.28,78.2801,82.6246,88.8097,67.4716,71.7212,73.6583,76.1702,80.1203,83.0898,86.8116,65.4339,69.9366,72.1771,75.0744,79.5965,82.9566,87.3897,72.8556,75.7851,77.1371,78.8461,82.5175,84.7535,87.3058,77.4104,79.2869,80.1583,81.194,84.6305,86.2329,87.7511
2/2/2018,133.2,120.12,120.16,131.4,88.2956,95.2803,98.2363,100.3302,100.9084,103.538,104.0823,86.1459,88.9096,91.134,93.381,92.3011,94.8376,95.3628,86.6883,90.5443,92.9605,95.1659,94.5264,97.0858,97.6157,87.3535,89.9419,91.4013,92.933,92.4512,94.4071,94.8127,88.3466,90.7926,91.6234,92.5583,92.5759,94.0471,94.3521
5/2/2018,177.48,130.52,135.76,175.44,232.2771,232.2771,232.2771,232.2771,232.2771,232.2771,232.2771,137.5101,137.5101,137.5101,137.5101,137.5101,137.5101,137.5101,155.9409,155.9409,155.9409,155.9409,155.9409,155.9409,155.9409,126.9164,126.9164,126.9164,126.9164,126.9164,126.9164,126.9164,119.4424,119.4424,119.4424,119.4424,119.4424,119.4424,119.4424
6/2/2018,232.4,172.462,184,172.462,201.1011,191.3949,158.4441,168.1449,205.498,194.2432,184.787,141.4842,152.3427,145.8301,152.4776,153.1002,155.6867,156.5843,150.409,157.8623,147.499,154.5644,160.7368,161.1188,160.4576,129.6329,137.4742,134.413,138.0045,136.0546,137.8039,139.8786,121.8394,127.557,126.946,128.3779,124.5172,125.6528,128.6281
7/2/2018,180.36,167.6796,174.96,178.16,147.9503,151.332,155.3012,157.4709,157.6008,158.4166,162.7326,116.2619,121.654,120.7367,121.0757,122.193,121.3108,123.4496,119.9243,125.0469,124.7522,125.3265,126.3118,125.653,128.0676,111.7499,114.6709,115.0638,113.9963,114.1584,114.4516,115.1846,109.1092,110.5163,111.7199,109.7803,109.3416,110.374,110.2243
8/2/2018,220.72,181.44,181.72,220.72,180.2408,186.2568,192.7461,179.5937,175.2033,178.0607,184.8846,137.0412,140.9632,141.7834,136.0733,135.023,135.2191,136.4723,141.0644,145.1912,146.6092,140.1335,138.7399,139.2114,141.0486,126.5083,128.2951,129.4571,125.259,123.9317,124.4536,125.3491,120.581,121.0785,122.4547,119.1585,117.6593,118.3799,119.0624
9/2/2018,225.6,196,198.88,201.12,150.9774,160.0092,163.8703,144.7014,155.5361,157.8427,169.8674,113.0998,122.0304,119.5972,120.7028,131.1474,131.467,129.2362,115.8306,124.7433,122.8326,122.3407,132.803,133.2685,132.1422,111.0596,114.7263,112.8365,113.4807,119.2308,119.739,119.015,110.0428,110.9596,109.36,109.7564,112.9128,113.5305,113.6541
12/2/2018,200.32,192,193.12,194.2,126.5114,139.6365,141.1556,132.9574,124.584,122.0162,138.2065,107.585,110.7212,112.7803,107.718,104.6932,106.8734,109.6654,108.0044,111.3864,113.4303,108.2919,105.1368,107.2038,110.3217,102.9853,103.8667,105.2797,101.2756,98.764,99.8029,101.6373,101.0893,100.9983,102.1294,98.5842,96.2932,96.834,98.2468
13/2/2018,196.24,190.4,195.24,191.88,110.5141,98.8988,103.3174,119.0205,129.2783,131.9584,137.1297,93.2663,96.8646,97.5549,102.9118,106.1285,106.861,108.9378,93.4823,96.8881,97.623,103.111,106.4228,107.1825,109.3027,91.637,93.6873,94.1157,97.6147,100.128,100.5568,101.8576,91.0215,92.4736,92.7996,95.5627,97.7944,98.1004,99.0858
14/2/2018,189.32,169.28,189.28,169.92,132.6234,105.5408,118.4386,102.4262,105.5487,113.2263,122.9625,81.6163,87.6729,88.291,86.8892,91.5797,92.5087,94.3076,81.9571,87.7733,88.4709,86.9755,91.6564,92.6262,94.4758,83.1865,86.3015,86.7219,86.2244,87.8391,88.6777,89.9429,83.727,85.8181,86.1681,85.9914,86.4967,87.3024,88.3703
15/2/2018,171.36,163.54,164.12,166,126.7575,106.5156,90.9786,111.1458,123.3052,134.5247,142.2991,81.241,84.393,84.8846,89.0205,91.4827,92.4879,95.4364,81.3153,84.4249,84.8927,89.0522,91.5303,92.5536,95.5108,81.1327,82.2207,83.133,86.1247,87.2503,88.5851,90.3103,81.0973,81.5004,82.5542,85.1598,85.8261,87.2758,88.5759
16/2/2018,170.96,162.24,168.8,168.48,81.6356,85.4226,87.1531,87.0974,88.731,92.987,95.3584,81.6356,85.4226,87.1531,87.0974,88.731,92.987,95.3584,81.6356,85.4226,87.1531,87.0974,88.731,92.987,95.3584,81.8966,84.6027,85.6007,86.639,87.2069,90.1211,90.8497,81.976,84.3515,85.1225,86.4989,86.7376,89.2302,89.4319
20/2/2018,178.72,171.56,172.8,175.36,83.8615,89.6458,91.8721,91.1735,94.3242,96.6897,101.7524,83.9051,86.9813,88.1978,88.2273,89.2582,90.6157,93.1857,83.872,89.0114,91.0009,90.4728,93.1294,95.2624,99.7567,83.9051,86.9813,88.1978,88.2273,89.2582,90.6157,93.1857,83.5236,85.6865,86.6914,86.7675,87.7824,88.7536,90.3582
21/2/2018,178.16,164.32,173.64,178,89.6818,93.6516,98.5301,95.9679,86.9846,90.783,92.3982,88.1787,92.3043,94.0081,89.8949,84.3253,87.418,87.0531,89.2396,93.2549,97.2139,94.2116,86.2062,89.8004,90.8492,88.1446,92.2284,93.9099,89.9156,84.3262,87.308,86.9956,87.4752,90.732,91.9706,90.3188,84.3432,85.1292,85.8628
22/2/2018,178.04,171.2,172.96,175.68,78.3627,83.2016,85.6823,94.4005,95.8214,98.3507,103.7049,79.9549,82.5962,84.3316,88.8941,90.9281,92.2878,94.3145,78.922,82.9908,85.2134,92.5161,94.1427,96.2782,100.5276,80.0947,82.6714,84.3302,88.8406,90.7522,92.0743,94.0521,81.4248,83.3903,84.3161,88.3248,89.0447,89.9978,91.4927
23/2/2018,171.44,161.88,170.08,161.96,65.5176,70.7869,73.6327,78.5155,82.6795,84.6902,90.3392,73.4812,75.9833,77.9105,80.7637,83.3442,84.7753,87.3047,68.8137,72.9099,75.3729,79.4224,82.946,84.7243,89.1378,74.1027,76.5496,78.3259,81.0359,83.5231,84.8607,87.3015,77.9,80.0208,80.8911,82.728,84.6395,85.3965,87.2813
26/2/2018,158.04,154.8,157.28,157.12,69.7156,74.9232,78.38,79.7099,78.0737,80.3484,87.1735,74.4639,78.4933,80.2455,81.071,80.1568,81.6105,85.012,72.3223,76.8746,79.3943,80.4489,79.2071,81.0334,86.0113,75.5578,79.2106,80.8338,81.5014,80.5098,81.8753,85.0122,78.7248,81.309,82.5608,82.7695,81.5518,82.6586,85.013
27/2/2018,170.48,156.6848,156.6848,169.64,81.9767,88.2929,91.5208,83.5747,81.1143,83.7839,90.0683,82.8632,86.2636,87.788,83.5797,81.9479,84.1563,86.8848,82.4953,87.1142,89.361,83.5776,81.6019,84.0015,88.2241,83.4042,86.4531,87.8159,83.8638,82.3121,84.2274,86.6032,84.7438,86.9256,87.8857,84.5712,83.217,84.4052,85.8941
28/2/2018,177.32,164.8,165.28,176.64,85.3897,94.1324,95.9769,96.4301,93.4268,96.6208,101.8525,84.4792,87.6302,89.2106,89.0686,86.2368,87.7858,90.3032,84.8222,90.1269,91.8099,91.902,89.0049,91.2039,94.8052,84.5194,87.3456,88.906,88.5781,85.9247,87.3064,89.5624,84.6057,86.7309,88.2479,87.5148,85.2501,86.2671,87.9494
1/3/2018,197.28,175.28,175.28,188.8,100.9315,107.1238,111.562,110.0108,106.5274,109.5882,116.4184,90.7869,94.4516,95.0214,95.7355,93.3646,94.3996,98.1697,93.5582,97.9391,99.6324,99.6834,96.9952,98.616,103.2758,90.1526,93.2528,93.9476,94.4875,92.3439,93.2087,96.2377,89.1725,91.3862,92.2787,92.5435,90.7584,91.3546,93.2012
