date,PX_LAST,PX_OPEN
2018-01-02,11.975,12.45
2018-01-03,11.825,11.98
2018-01-04,11.825,11.85
2018-01-05,11.725,11.82
2018-01-08,11.675,11.75
2018-01-09,11.775,11.67
2018-01-10,11.575,11.8
2018-01-11,11.575,11.57
2018-01-12,11.675,11.55
2018-01-16,12.075,11.8
2018-01-17,12.125,12.05
2018-01-18,12.775,12.6
2018-01-19,12.525,12.77
2018-01-22,12.475,12.65
2018-01-23,12.725,12.45
2018-01-24,12.925,12.73
2018-01-25,13.025,12.9
2018-01-26,13.075,13.05
2018-01-29,13.825,13.1
2018-01-30,14.075,13.85
2018-01-31,13.675,14.05
2018-02-01,13.425,13.69
2018-02-02,14.975,13.4
2018-02-05,27.975,15.0
2018-02-06,21.025,27.4
2018-02-07,19.875,20.45
2018-02-08,21.65,19.7
2018-02-09,20.425,21.6
2018-02-12,19.825,20.3
2018-02-13,19.825,19.85
2018-02-14,17.875,19.85
2018-02-15,17.325,17.85
2018-02-16,17.375,17.3
2018-02-20,17.825,17.45
2018-02-21,18.075,17.85
2018-02-22,17.625,18.1
2018-02-23,16.9,17.65
2018-02-26,16.175,16.74
2018-02-27,17.175,16.15
2018-02-28,17.875,17.25
2018-03-01,18.675,17.95
2018-03-02,18.275,18.75
2018-03-05,17.825,18.55
2018-03-06,17.975,17.83
2018-03-07,17.775,18.9
2018-03-08,17.275,17.85
2018-03-09,16.225,17.27
2018-03-12,16.575,16.25
2018-03-13,16.925,16.55
2018-03-14,17.275,16.9
2018-03-15,16.725,17.25
2018-03-16,16.475,16.7
2018-03-19,17.475,16.45
2018-03-20,17.375,17.7
2018-03-21,17.325,17.35
2018-03-22,18.425,17.3
2018-03-23,19.325,18.5
2018-03-26,18.625,19.43
2018-03-27,19.525,18.6
2018-03-28,19.875,19.65
2018-03-29,19.225,19.8
2018-04-02,20.025,19.15
2018-04-03,19.675,19.9
2018-04-04,19.225,19.8
2018-04-05,18.675,19.27
2018-04-06,19.525,18.75
2018-04-09,19.825,19.5
2018-04-10,19.425,19.8
2018-04-11,19.475,19.55
2018-04-12,18.725,19.4
2018-04-13,18.125,18.65
2018-04-16,17.275,17.85
2018-04-17,16.375,17.4
2018-04-18,16.425,16.4
2018-04-19,16.825,16.6
2018-04-20,17.075,16.8
2018-04-23,17.025,17.01
2018-04-24,17.475,17.05
2018-04-25,17.675,17.47
2018-04-26,17.025,17.45
2018-04-27,16.825,17.0
2018-04-30,16.925,16.75
2018-05-01,16.475,16.97
2018-05-02,16.775,16.45
2018-05-03,16.525,16.7
2018-05-04,16.375,16.55
2018-05-07,16.325,16.4
2018-05-08,16.225,16.35
2018-05-09,15.625,16.25
2018-05-10,15.075,15.6
2018-05-11,14.7,15.12
2018-05-14,14.475,14.65
2018-05-15,15.325,14.45
2018-05-16,14.675,15.3
2018-05-17,15.075,15.33
2018-05-18,15.325,15.07
2018-05-21,14.775,15.05
2018-05-22,14.975,14.85
2018-05-23,14.725,15.0
2018-05-24,14.6,14.7
2018-05-25,14.825,14.61
2018-05-29,16.125,14.71
2018-05-30,15.675,16.15
2018-05-31,15.875,15.72
2018-06-01,15.175,15.85
2018-06-04,14.675,15.2
2018-06-05,14.525,14.6
2018-06-06,14.075,14.5
2018-06-07,14.175,14.05
2018-06-08,14.225,14.16
2018-06-11,13.975,14.35
2018-06-12,13.925,13.95
2018-06-13,14.175,13.9
2018-06-14,13.675,14.1
2018-06-15,13.725,13.68
2018-06-18,13.675,13.75
2018-06-19,14.225,13.7
2018-06-20,13.925,14.2
2018-06-21,15.275,14.65
2018-06-22,15.075,15.35
2018-06-25,16.275,15.06
2018-06-26,16.125,16.25
2018-06-27,16.875,16.2
2018-06-28,16.575,16.82
2018-06-29,16.375,16.5
2018-07-02,16.325,16.46
2018-07-03,16.725,16.33
2018-07-05,16.075,16.7
2018-07-06,15.525,16.18
2018-07-09,14.625,15.4
2018-07-10,14.425,14.73
2018-07-11,14.875,14.77
2018-07-12,14.475,14.85
2018-07-13,14.225,14.47
2018-07-16,14.275,14.15
2018-07-17,13.975,14.3
2018-07-18,13.925,13.9
2018-07-19,15.025,14.87
2018-07-20,15.175,15.02
2018-07-23,15.025,15.09
2018-07-24,14.975,15.0
2018-07-25,14.875,15.0
2018-07-26,14.925,14.9
2018-07-27,15.175,14.85
2018-07-30,15.625,15.23
2018-07-31,15.025,15.57
2018-08-01,15.125,15.05
2018-08-02,14.975,15.1
2018-08-03,14.8,14.85
2018-08-06,14.375,14.78
2018-08-07,14.025,14.35
2018-08-08,13.975,14.0
2018-08-09,14.125,14.0
2018-08-10,14.775,14.15
2018-08-13,15.475,14.75
2018-08-14,14.725,15.45
2018-08-15,15.225,14.7
2018-08-16,14.775,15.3
2018-08-17,14.325,14.76
2018-08-20,14.175,14.3
2018-08-21,14.625,14.2
2018-08-22,14.175,14.75
2018-08-23,15.175,15.01
2018-08-24,15.175,15.17
2018-08-27,15.225,15.1
2018-08-28,15.275,15.17
2018-08-29,15.225,15.25
2018-08-30,15.675,15.22
2018-08-31,15.175,15.64
2018-09-04,15.225,15.15
2018-09-05,15.525,15.3
2018-09-06,16.025,15.5
2018-09-07,16.225,15.97
2018-09-10,15.675,16.05
2018-09-11,15.125,15.65
2018-09-12,15.025,15.1
2018-09-13,14.625,15.0
2018-09-14,14.375,14.65
2018-09-17,14.975,14.45
2018-09-18,14.675,14.95
2018-09-19,14.275,14.66
2018-09-20,14.925,15.09
2018-09-21,15.075,14.9
2018-09-24,14.925,15.15
2018-09-25,14.975,14.9
2018-09-26,15.275,14.95
2018-09-27,15.025,15.23
2018-09-28,14.975,15.01
2018-10-01,14.875,14.9
2018-10-02,14.925,14.82
2018-10-03,14.725,14.91
2018-10-04,15.225,14.86
2018-10-05,15.475,15.2
2018-10-08,15.725,15.45
2018-10-09,15.925,15.75
2018-10-10,18.525,15.95
2018-10-11,18.525,18.4
2018-10-12,18.125,18.65
2018-10-15,18.525,18.2
2018-10-16,17.275,18.65
2018-10-17,17.125,17.25
2018-10-18,18.075,17.17
2018-10-19,18.175,18.04
